"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2007;"Hartwall Arena";"Montenegro";"Stevan Faddy";"'Ajde, kroči";;;;;;;"https://youtu.be/mNXURugfanw?si=hRMMNpFiv0P9sr75";;
2008;"Belgrade Arena";"Montenegro";"Stefan Filipović";"Zauvijek volim te";;;;;;;"https://youtu.be/qmD2vV1ffwU?si=MIN1JA7GgSIzA2Yv";"https://music.apple.com/gb/album/zauvijek-volim-te/1706700932?i=1706700935";
2009;"Olimpiysky Arena";"Montenegro";"Andrea Demirović";"Just Get Out of My Life";;;;;;;"https://youtu.be/UaETVttl1P4?si=qFgLJ809qk1EmOvO";"https://music.apple.com/gb/album/just-get-out-of-my-life-esc-version/313168716?i=313168731";"https://open.spotify.com/track/1i4cKcN9XLS1EN93tOtL0r?si=7f361a17001a4e0e"
2012;"Baku Crystal Hall";"Montenegro";"Rambo Amadeus";"Euro Neuro";;;;;;;"https://youtu.be/JHnqF5PLP2w?si=Rhi_cXNPyR19bOD8";;
2013;"Malmö Isstadion";"Montenegro";"Who See";"Igranka";;;;;;;"https://youtu.be/FR9rtB2ilZU?si=LtQj9a5Voa11DS_g";"https://music.apple.com/gb/album/igranka/1725302087?i=1725302093";"https://open.spotify.com/track/3qolQX5Hx9iTkN0Fwdr5mU?si=adbdbecf76a5464b"
2014;"B&W Hallerne";"Montenegro";"Sergej Ćetković";"Moj svijet";8;19;20;16;48;33;"https://youtu.be/6FJtzRSKHKg?si=7_sLmU3HfIHCB79f";"https://music.apple.com/gb/album/moj-svijet/1050121603?i=1050122298";"https://open.spotify.com/track/1bAMRpm6JOcWrt5CUUOeNw?si=e9e7c95f601e4521"
2015;"Wiener Stadthalle";"Montenegro";"Knez";"Adio";16;16;12;18;48;34;"https://youtu.be/MTyi2XeeoJU?si=LdAdAtg-6CCQgOSl";"https://music.apple.com/gb/album/adio/1579170646?i=1579170647";"https://open.spotify.com/track/3vfkDz867zwX33cBqlNWVv?si=f21c83d45c344fb2"
2016;"Globe Arena";"Montenegro";"Highway";"The Real Thing";;;;;;;"https://youtu.be/FgKehisElQI?si=HzG6iJkreinp9iQm";;
2017;"International Exhibition Centre";"Montenegro";"Slavko Kalezić";"Space";;;;;;;"https://youtu.be/rQ1BXJpfa4I?si=jcu55ZK_Xkb-kJLp";"https://music.apple.com/gb/album/space/1518242930?i=1518242931";"https://open.spotify.com/track/4zEULD8iaJhK3Cs8oVkMSx?si=3cfa22cd2200445f"
2018;"Lisbon Arena";"Montenegro";"Vanja Radovanović";"Inje";;;;;;;"https://youtu.be/XEi080yOuB8?si=Eym3jLbm00RXfIJA";"https://music.apple.com/gb/album/inje/1368357725?i=1368357727";"https://open.spotify.com/track/4AQX7Nbg0ZuiA763Y6N8Uk?si=382897f0d0aa4cfe"
2019;"Expo Tel Aviv";"Montenegro";"D mol";"Heaven";;;;;;;"https://youtu.be/oV200JAouTc?si=tffcfE-SV44DpYJd";"https://music.apple.com/gb/album/heaven/1457685721?i=1457685722";"https://open.spotify.com/track/3xiAusIKlqfnatyzEWzdtS?si=aecbbe1f614846e8"
2022;"PalaOlimpico";"Montenegro";"Vladana";"Breathe";;;;;;;"https://youtu.be/L-ViRVRiGl0?si=iIIu08CkZVC9sBPG";"https://music.apple.com/gb/album/breathe/1611391664?i=1611391685";"https://open.spotify.com/track/4vvVUzVIVVpXRdzdlU765E?si=ca64866fae214d3c"
