"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1956,"Teatro Kursaal","Netherlands","Corry Brokken","Voorgoed voorbij",8,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=jD7bOZBj3Wo","https://music.apple.com/gb/album/voorgoed-voorbij/1178864133?i=1178864692","https://open.spotify.com/track/6wNxi3cb38lwlkgrOAJ9cc?si=8b20aa1bec0f4603"
1956,"Teatro Kursaal","Netherlands","Jetty Paerl","De vogels van Holland",1,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=u45UQVGRVPA",NULL,"https://open.spotify.com/track/0TwQ2TgfJxZbyeQvCzeMKY?si=ba3b5c7863c24b82"
1957,"Großer Sendesaal des Hessischen Rundfunks","Netherlands","Corry Brokken","Net als toen",6,1,1,NULL,31,NULL,"https://www.youtube.com/watch?v=gTQtjqotFAg","https://music.apple.com/gb/album/net-als-toen/1124428655?i=1124428783","https://open.spotify.com/track/1I9fugKDEYETuxJME3aesv?si=f0ab64909db641bd"
1958,"AVRO Studios","Netherlands","Corry Brokken","Heel de wereld",2,9,9,NULL,1,NULL,"https://youtu.be/yoiVXVA8fs8?si=qd-x0fY9d6EAM3kC","https://music.apple.com/gb/album/heel-de-wereld/1553208117?i=1553208734","https://open.spotify.com/track/6I0G0fiXZ81FgHTiXxPe2V?si=ea285ab1482b4fd8"
1959,"Palais des Festivals","Netherlands","Teddy Scholten","Een beetje",5,1,1,NULL,21,NULL,"https://youtu.be/nGAupVJSO0k?si=Qo4xwDZ0jltb3dBN","https://music.apple.com/gb/album/n-beetje-remastered/541699279?i=541699670","https://open.spotify.com/track/6fQfOgajFEdUTOvAQNoinK?si=10629f9d2e544976"
1960,"Royal Festival Hall","Netherlands","Rudi Carrell","Wat een geluk",10,12,12,NULL,2,NULL,"https://youtu.be/eLx8spP9XwE?si=hvywbecCKEP85TBo","https://music.apple.com/gb/album/wat-een-geluk/631134643?i=631136187","https://open.spotify.com/track/5sGXjyFzCaXVr3hveCpq2O?si=bdb3331dd05043eb"
1961,"Palais des Festivals","Netherlands","Greetje Kauffeld","Wat een dag",6,10,10,NULL,6,NULL,"https://youtu.be/eBnIF9gQxkg?si=6i1qNJay-vZTZ5qv",NULL,"https://open.spotify.com/track/6U0jLB9NlF9DdvHaV2Pi6O?si=091255f28f3b4ae4"
1962,"Villa Louvigny","Netherlands","De Spelbrekers","Katinka",8,13,13,NULL,0,NULL,"https://youtu.be/1lkUnankIuQ?si=rzdHdGNv8CKktxUL","https://music.apple.com/gb/album/katinka/512737890?i=512737907","https://open.spotify.com/track/13grDYFiVgr7JZYh5H1JvB?si=cc486645a1cc4b35"
1963,"BBC Television Centre","Netherlands","Annie Palmen","Een speeldoos",2,13,13,NULL,0,NULL,"https://youtu.be/lWINVYSsrTU?si=55CwUCYWUl-DCbEa",NULL,NULL
1964,"Tivolis Koncertsal","Netherlands","Anneke Grönloh","Jij bent mijn leven",2,10,10,NULL,2,NULL,"https://youtu.be/mT51r1Up21A?si=1S2p1dKo4XDltrrC","https://music.apple.com/gb/album/jij-bent-mijn-leven/1434780045?i=1434780307","https://open.spotify.com/track/45gyXIShQP2CAibAvNR35t?si=9cdde95dc6db4aa2"
1965,"Sala di Concerto della RAI","Netherlands","Conny Vandenbos","'T is genoeg",1,11,11,NULL,5,NULL,"https://youtu.be/A3e6RPue-WI?si=9p96LeNxmxljgLn4","https://music.apple.com/gb/album/t-is-genoeg/1215327801?i=1215327814",NULL
1966,"Villa Louvigny","Netherlands","Milly Scott","Fernando en Philippo",16,15,15,NULL,2,NULL,"https://youtu.be/mVHqkE5Qx18?si=f_PserwOGSOCK3AN","https://music.apple.com/gb/album/fernando-en-filippo/1344375140?i=1344375141","https://open.spotify.com/track/3AmVKvtAS3OImFeqvVGuyB?si=8a9b312720ef4f32"
1967,"Großer Festsaal der Wiener Hofburg","Netherlands","Thérèse Steinmetz","Ring-dinge-ding",1,14,14,NULL,2,NULL,"https://youtu.be/_N2eamx50nU?si=6wtrzD8xpPfBjuXX","https://music.apple.com/gb/album/ring-dinge-ding/1458618049?i=1458618051","https://open.spotify.com/track/5jw0KaceCNXI3JAndQIqVh?si=04e0cc46be134aba"
1968,"Royal Albert Hall","Netherlands","Ronnie Tober","Morgen",2,16,16,NULL,1,NULL,"https://youtu.be/dIRKl76BXRU?si=GcXjke_pEM7mI5ZW","https://music.apple.com/gb/album/morgen/312898844?i=312898926","https://open.spotify.com/track/6NqsonGA4xWZ1PxiLeEG2S?si=07aa86833bf54344"
1969,"Teatro Real","Netherlands","Lenny Kuhr","De troubadour",8,1,1,NULL,18,NULL,"https://youtu.be/dsP3lhz5J30?si=rmG9rDzT5AAMqmbJ","https://music.apple.com/gb/album/de-troubadour-feat-piet-souer/1442813402?i=1442813455","https://open.spotify.com/track/31VRNSB6FA4KP7TOkW3k3A?si=8c967ae39e794e2c"
1970,"RAI Congrescentrum","Netherlands","Patricia and Hearts of Soul","Waterman",1,7,7,NULL,7,NULL,"https://youtu.be/Hx54yQGRYS8?si=nIuq-ire-N5sI4yG","https://music.apple.com/gb/album/waterman/1331500360?i=1331501041","https://open.spotify.com/track/0wGVOAtui6Fj66JObm8c5m?si=79667b1447c943c9"
