"year","venue","countryname","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1998,"National Indoor Arena","North Macedonia","Vlado Janevski","Ne zori, zoro",25,17,11,15,3,13,"https://youtu.be/sqvIdZXuPjs?si=mEKT8pfKtXnVDXD3",NULL,NULL
2000,"Globe Arena","North Macedonia","XXL","100% te ljubam",19,15,7,16,17,12,"https://youtu.be/dWlrcgH-1NU?si=-YIBP-fGq_8_szJW","https://music.apple.com/gb/album/100-te-ljubam/1712907820?i=1712907821","https://open.spotify.com/track/6irXADvLUwmS13wnfHdLpO?si=37b5bf07fe714d2e"
2002,"Saku Suurhall","North Macedonia","Karolina","Od nas zavisi",9,15,10,20,20,5,"https://youtu.be/mImHt3wyg38?si=elJnTgY5Cl8bsDvY",NULL,NULL
2004,"Abdi İpekçi Arena","North Macedonia","Toše Proeski","Life",15,12,NULL,12,NULL,47,"https://youtu.be/5_NX0usepUI?si=1jSa6iqKrFZOoc-t","https://music.apple.com/gb/album/life/1589450806?i=1589451975","https://open.spotify.com/track/5T7vwco5GTNHA4HRvneoqe?si=55f50e1536e64bc9"
2005,"Palace of Sports","North Macedonia","Martin Vučić","Make My Day",15,16,13,14,1,51,"https://youtu.be/NqvRDkJ5StM?si=zBC5gZYmSfR26pCQ",NULL,NULL
2006,"Olympic Indoor Hall","North Macedonia","Elena Risteska","Ninanajna",11,12,9,11,3,53,"https://youtu.be/C9UDfNSIYyY?si=1YCMzkkRUBrUxP-t",NULL,NULL
2007,"Hartwall Arena","North Macedonia","Karolina","Mojot svet",6,14,9,14,3,70,"https://youtu.be/NsXxHFEbiI0?si=wJcvAK231UmR1a8d",NULL,NULL
2008,"Belgrade Arena","North Macedonia","Tamara, Vrčak and Adrijan","Let Me Love You",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/1MXMLTSR1Y4?si=DvzxtiNf4z-4CZqJ",NULL,NULL
2009,"Olimpiysky Arena","North Macedonia","Next Time","Nešto što kje ostane",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/TZzUe2gBkME?si=q953wnSz4hvCn8v8",NULL,NULL
2010,"Telenor Arena","North Macedonia","Gjoko Taneski","Jas ja imam silata",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/3sYNmPkivyU?si=a_4ZqIjLzK6OsSxK",NULL,NULL
2011,"Düsseldorf Arena","North Macedonia","Vlatko Ilievski","Rusinka",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/JrCOhclzLbE?si=Yjv5kJ4kDzcGLkzf",NULL,NULL
2012,"Baku Crystal Hall","North Macedonia","Kaliopi","Crno i belo",22,16,15,11,69,79,"https://youtu.be/MSuCdNEy9w0?si=rtlw3XHhGsscsIpz","https://music.apple.com/gb/album/crno-i-belo/1698746718?i=1698746741","https://open.spotify.com/track/1tvQ2CzMCbcVGylkU9u8TS?si=cab7b35d7696456d"
2013,"Malmö Isstadion","North Macedonia","Esma and Lozano","Pred da se razdeni",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/Vi1VYsOUCsY?si=dTO-7reszJey6Ph8","https://music.apple.com/gb/album/pred-da-se-razdeni-feat-esma-redzepova/1450282805?i=1450282810","https://open.spotify.com/track/1NsmxRrhvkV2ccrnsgoafc?si=a2aa46e529264872"
2014,"B&W Hallerne","North Macedonia","Tijana","To the Sky",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/2BqLPMF8Xdc?si=BHCoNgY9nq_C4por","https://music.apple.com/gb/album/to-the-sky-where-do-we-go-now/826579978?i=826580049","https://open.spotify.com/track/4C2wnoXZQIkQ6UKbBthh9l?si=a60f1e3efb024476"
2015,"Wiener Stadthalle","North Macedonia","Daniel Kajmakoski","Autumn Leaves",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/TtSum7ouImU?si=puca-ASCVwu_BKHu","https://music.apple.com/gb/album/autumn-leaves/997652075?i=997652078","https://open.spotify.com/track/6PruiyHcWU9wbgH4cKPIV4?si=a17ad9e0ae8947f5"
2016,"Globe Arena","North Macedonia","Kaliopi","Dona",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/uIIzwFoE6ME?si=p7fG-Z54zd8WvvRS","https://music.apple.com/gb/album/dona/1697121064?i=1697121068","https://open.spotify.com/track/73MwyA75Di6zMWkBUFjNWa?si=afba0fee0d1a42b1"
2017,"International Exhibition Centre","North Macedonia","Jana Burčeska","Dance Alone",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/zLTk1hqS92o?si=XiovEtd4Sdo9f67q","https://music.apple.com/gb/album/dance-alone-single/1444420498","https://open.spotify.com/track/2oim5PeJo33M01bXAUVKLu?si=5bd832c4a2504847"
