"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1960;"Royal Festival Hall";"Norway";"Nora Brockstedt";"Voi-voi";6;4;4;;11;;"https://youtu.be/q70CwO8TI6s?si=E5no0iCX9r9Dc7_S";"https://music.apple.com/gb/album/voi-voi/965887666?i=965887836";"https://open.spotify.com/track/7h10Yr54xAEdnM19GBbtcz?si=a382691fa4f44f8c"
1961;"Palais des Festivals";"Norway";"Nora Brockstedt";"Sommer i Palma";12;7;7;;10;;"https://youtu.be/5i_BCD46-fo?si=3iRVY7-vFKd1rYZq";"https://music.apple.com/gb/album/sommer-i-palma/296182234?i=296182366";"https://open.spotify.com/track/4NPpSIxpQaGDWxSHvCmWGD?si=85b1df1cfffc4eed"
1962;"Villa Louvigny";"Norway";"Inger Jacobsen";"Kom sol, kom regn";10;10;10;;2;;"https://youtu.be/58QSyaUc6Ms?si=jTVxfLNsBWr2H33U";"https://music.apple.com/gb/album/kom-sol-kom-regn/575375835?i=575376082";"https://open.spotify.com/track/0iUroSitQySYZr5tdT4StB?si=276bfea6203b45ac"
1963;"BBC Television Centre";"Norway";"Anita Thallaug";"Solhverv";5;13;13;;0;;"https://youtu.be/kaOIm-2hfm4?si=U2UptbonbX4CWlZG";;
1964;"Tivolis Koncertsal";"Norway";"Arne Bendiksen";"Spiral";3;8;8;;6;;"https://youtu.be/V6ecLdbR_is?si=fo0E5kVDw7tITHu1";"https://music.apple.com/gb/album/spiral/297664377?i=297665178";"https://open.spotify.com/track/1g65SWNmTGmSkOMgHB9hGD?si=f326e442bca14b35"
1965;"Sala di Concerto della RAI";"Norway";"Kirsti Sparboe";"Karusell";7;13;13;;1;;"https://youtu.be/7r_wetdKq1w?si=DnZQyluYfLyLQoec";"https://music.apple.com/gb/album/karusell/297209884?i=297210003";"https://open.spotify.com/track/20XUJu6LqjZsDBpmOmC7fY?si=4f9a33a518c84ace"
1966;"Villa Louvigny";"Norway";"Åse Kleveland";"Intet er nytt under solen";6;3;3;;15;;"https://youtu.be/hS1-YJtovaI?si=tQJ_rBcqXonPHb6I";"https://music.apple.com/gb/album/intet-er-nytt-under-solen-feat-the-salmon-smokers/1513734513?i=1513734830";"https://open.spotify.com/track/68ccbuUBIZtRKO0Y7TWnUc?si=8594c0cd0ee342c6"
1967;"Großer Festsaal der Wiener Hofburg";"Norway";"Kirsti Sparboe";"Dukkemann";13;14;14;;2;;"https://youtu.be/Y7I__FNMevk?si=tYkYEn0ps_5kyH_R";"https://music.apple.com/gb/album/dukkemann/297209884?i=297209975";"https://open.spotify.com/track/6U2birUTzSLbWAf5vL4EpG?si=37e2cfe4e3cd4264"
1968;"Royal Albert Hall";"Norway";"Odd Børre";"Stress";13;13;13;;2;;"https://youtu.be/rLX2diZZ5TY?si=OH_k-rBRHBbtah2i";"https://music.apple.com/gb/album/stress/298070003?i=298070042";"https://open.spotify.com/track/4ReH9EkiNLuWQl2PwljTIx?si=ea883ae8710648a3"
1969;"Teatro Real";"Norway";"Kirsti Sparboe";"Oj, oj, oj, så glad jeg skal bli";12;16;16;;1;;"https://youtu.be/82uR5MLX5YY?si=MPd8wjzsDF81FOC6";"https://music.apple.com/gb/album/oj-oj-oj-s%C3%A5-glad-jeg-skal-bli/297209884?i=297210049";"https://open.spotify.com/track/1wTSmFsq5noeiitpwifvIG?si=ecc02dcbc32b40ae"
1971;"Gaiety Theatre";"Norway";"Hanne Krogh";"Lykken er...";18;17;17;;65;;"https://youtu.be/JxDWe2PEzOQ?si=5HhPOuhgkW8_him_";"https://music.apple.com/gb/album/lykken-er/297353819?i=297353901";"https://open.spotify.com/track/4WSKAhnINIHW5TCS9hdxZd?si=4530f280364e4b3e"
1972;"Usher Hall";"Norway";"Grethe Kausland and Benny Borg";"Småting";6;14;14;;73;;"https://youtu.be/EROlZbIbjH0?si=lhCckZcDhcmRX7FB";;
1973;"Théâtre Municipal";"Norway";"Bendik Singers";"It's Just a Game";5;7;7;;89;;"https://youtu.be/7NkMOw4HBIw?si=_hzzmJDjFakKX1SI";;
1974;"Brighton Dome";"Norway";"Anne-Karine and the Bendik Singers";"The First Day of Love";4;14;14;;3;;"https://youtu.be/A9o6vx_Vr3k?si=RvxmxS9spy9-l3f_";;
1975;"St. Eriks Mässan";"Norway";"Ellen Nikolaysen";"Touch My Life with Summer";6;18;18;;11;;"https://youtu.be/Oyz6o8RBAtE?si=ro4EpsBLHeGE-Jro";;
1976;"Nederlands Congresgebouw";"Norway";"Anne-Karine Strøm";"Mata Hari";9;18;18;;7;;"https://youtu.be/SkjSwjV1JLc?si=_gUr0YP70Y0aYUIG";;
1977;"Wembley Conference Centre";"Norway";"Anita Skorgan";"Casanova";5;14;14;;18;;"https://youtu.be/JPJxDxHW7LM?si=szAerHniDCc1Rr6G";;
1978;"Palais des Congrès";"Norway";"Jahn Teigen";"Mil etter mil";2;20;20;;0;;"https://youtu.be/axt2aQNak7I?si=z3QLLGX4nAVwz1dl";"https://music.apple.com/gb/album/mil-etter-mil-remastered-2009/690513924?i=690514155";"https://open.spotify.com/track/2tbNnbDM8vcGxlPqzyQHNj?si=1d2a4ec542284ee3"
1979;"International Convention Center";"Norway";"Anita Skorgan";"Oliver";16;11;11;;57;;"https://youtu.be/A4xUtThueC4?si=p3lgodGtOwQz1ILF";"https://music.apple.com/gb/album/oliver/1442665035?i=1442665267";"https://open.spotify.com/track/0MOgrbohfnHA8ISdeveRf5?si=cf1f0911d1a4410e"
