"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1994;"Point Theatre";"Poland";"Edyta Górniak";"To nie ja!";24;2;2;;166;;"https://youtu.be/PrRJcZ7f6O8?si=XqafS1WnjihJS_Sj";"https://music.apple.com/gb/album/to-nie-ja-2020-remaster/1511028566?i=1511028617";"https://open.spotify.com/track/25zN3HNnNrhA3fXqsauv4g?si=3f23afefaee741e3"
1995;"Point Theatre";"Poland";"Justyna";"Sama";1;18;18;;15;;"https://youtu.be/neM37hUsVDo?si=zJzP4t8nnNELGGtB";"https://music.apple.com/gb/album/sama-noc%C4%85/1389797504?i=1389797506";
1996;"Oslo Spektrum";"Poland";"Kasia Kowalska";"Chcę znać swój grzech";20;15;15;;31;;"https://youtu.be/GATT2iJralY?si=X8FMhuu43gBL6qOn";;
1997;"Point Theatre";"Poland";"Anna Maria Jopek";"Ale jestem";12;11;11;7;40;14;"https://youtu.be/m9DYL4B8OXA?si=OE0MWeYRNAtyf8Pa";"https://music.apple.com/gb/album/ale-jestem-live/1442936459?i=1442937530";"https://open.spotify.com/track/6uC8ZA5RPsgK5rgxbRHuRE?si=88c0e1164f8c438d"
1998;"National Indoor Arena";"Poland";"Sixteen";"To takie proste";7;16;4;21;12;7;"https://youtu.be/1PLtGzUblEY?si=YCR5YxiovyRlqVRN";;
1999;"International Convention Center";"Poland";"Mietek Szcześniak";"Przytul mnie mocno";12;18;7;21;13;4;"https://youtu.be/SrqMUhruz3I?si=04H8MZP0onB--JHB";;
2001;"Parken Stadium";"Poland";"Piasek";"2 Long";18;20;18;19;0;11;"https://youtu.be/ZRp_8JXsWmU?si=3ZVvdwS51cGZlWTN";;
2003;"Skonto Olympic Hall";"Poland";"Ich Troje";"Keine Grenzen – Żadnych granic";20;7;21;7;0;90;"https://youtu.be/BjdTj6G37ow?si=-OQP-Gab8H0HPL15";"https://music.apple.com/gb/album/keine-grenzen-zadnych-granic-polnische-version/1442578025?i=1442579078";"https://open.spotify.com/track/3SPlqqbR5783uURm6KbgJe?si=7b620185649e40ee"
2004;"Abdi İpekçi Arena";"Poland";"Blue Café";"Love Song";19;17;;17;;27;"https://youtu.be/kWS-S53Zsio?si=EI7bTt9qBUbzphSe";"https://music.apple.com/gb/album/love-song/691284666?i=691284701";"https://open.spotify.com/track/1B2RXsTj0qe6VI84M9XGaT?si=7e83a668106d44a9"
2005;"Palace of Sports";"Poland";"Ivan and Delfin";"Czarna dziewczyna";;;;;;;"https://youtu.be/s2uiE85oWuo?si=U8lx2XP99tl_6VXz";;
2006;"Olympic Indoor Hall";"Poland";"Ich Troje";"Follow My Heart";;;;;;;"https://youtu.be/n7pL-jaEnwQ?si=Fi4n1iKMOkPRHp8c";;
2007;"Hartwall Arena";"Poland";"The Jet Set";"Time to Party";;;;;;;"https://youtu.be/lYBuHhT4q_Y?si=S-NT8n7r5IyKh2w_";"https://music.apple.com/gb/album/time-to-party/385054775?i=385054878";"https://open.spotify.com/track/74G1N0XIQzdKF1xtO4vcDR?si=fcc2dd6eda034123"
2008;"Belgrade Arena";"Poland";"Isis Gee";"For Life";10;23;11;23;0;14;"https://youtu.be/4Q8f5AueE7g?si=LBUl5OmzAeppbMbe";"https://music.apple.com/gb/album/for-life-radio-edit/411106654?i=411106658";
2009;"Olimpiysky Arena";"Poland";"Lidia Kopania";"I Don't Wanna Leave";;;;;;;"https://youtu.be/QGQxmapGNwg?si=Jkgm0B3lAHUthpR7";"https://music.apple.com/gb/album/i-dont-wanna-leave/304878414?i=304878417";"https://open.spotify.com/track/15zGL45A30gx6ufCNl6jwI?si=bd445773360e4db8"
2010;"Telenor Arena";"Poland";"Marcin Mroziński";"Legenda";;;;;;;"https://youtu.be/VmEUURZXUlE?si=PBREJGcE2d4fS6-d";;
2011;"Düsseldorf Arena";"Poland";"Magdalena Tul";"Jestem";;;;;;;"https://youtu.be/6u4uznE0GxI?si=cpuYuF9DxFB1RXEX";"https://music.apple.com/gb/album/jestem-bonus-track/1447271236?i=1447271254";"https://open.spotify.com/track/2y0NFhe1I9RZz7eAKoMUiR?si=e0fc323a20ef4a6b"
2014;"B&W Hallerne";"Poland";"Donatan and Cleo";"My Słowianie – We Are Slavic";9;8;23;5;23;162;"https://youtu.be/VJ920cN2HmA?si=J_0QQPouU_aw1j2E";"https://music.apple.com/gb/album/my-s%C5%82owianie/738390293?i=738390318";"https://open.spotify.com/track/1p1WDGChkI8ilPQBV3I9S1?si=44e2882462a743f2"
2015;"Wiener Stadthalle";"Poland";"Monika Kuszyńska";"In the Name of Love";18;22;27;15;2;47;"https://youtu.be/TReYIZYloSg?si=SuCIAGosLPUAtEmm";"https://music.apple.com/gb/album/in-the-name-of-love/973215712?i=973215713";"https://open.spotify.com/track/3QeIjbfwqVg9xwEKoxzfbN?si=112439f8e8404ced"
2016;"Globe Arena";"Poland";"Michał Szpak";"Color of Your Life";12;8;25;3;7;222;"https://youtu.be/87BBmxm7IJU?si=kNbO5NJf1Zd3FEj8";"https://music.apple.com/gb/album/color-of-your-life/1047118006?i=1047118120";"https://open.spotify.com/track/4hDnWMqJU0XJ1MIdWRhn9P?si=846d1fe337b84eb7"
2017;"International Exhibition Centre";"Poland";"Kasia Moś";"Flashlight";2;22;23;12;23;41;"https://youtu.be/xVCokUW3BUo?si=TzyoxtrhlO98bDwH";"https://music.apple.com/gb/album/flashlight/1214389394?i=1214389397";"https://open.spotify.com/track/26D88ZaVe08FKhUrdttd3t?si=3e3957ad471e4e0d"
2018;"Lisbon Arena";"Poland";"Gromee feat. Lukas Meijer";"Light Me Up";;;;;;;"https://youtu.be/oyoiCyP4Bkg?si=QY91ST9btQ5ECyyU";"https://music.apple.com/gb/album/light-me-up-feat-lukas-meijer/1347327014?i=1347327021";"https://open.spotify.com/track/5GXNpvgo6UtLhe2wYBYWy1?si=48c2b056c06545e6"
2019;"Expo Tel Aviv";"Poland";"Tulia";"Fire of Love (Pali się)";;;;;;;"https://youtu.be/IEu0F5uobVo?si=PGLdV3ck0s-cwwXj";"https://music.apple.com/gb/album/fire-of-love-pali-si%C4%99/1455508037?i=1455508116";"https://open.spotify.com/track/39eYn0el1oFv3btrhTX74G?si=0cf7b9456c314831"
2020;"Rotterdam Ahoy";"Poland";"Alicja";"Empires";;;;;;;"https://youtu.be/s_Y7mMka4SQ?si=MGyjN3mOvJofQ_tk";"https://music.apple.com/gb/album/empires/1500175092?i=1500175094";"https://open.spotify.com/track/2unNElroipge43kWLeI4cC?si=033be0dac2634c9d"
