"sourceTable","artist","song","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
"1964","António Calvário","Oração",11,11,11,,,0,0,,,"https://youtu.be/rI6Kz-URYfk?si=2q1_KK8QNzJ_08iJ","https://music.apple.com/gb/album/ora%C3%A7%C3%A3o/1394723641?i=1394723649","https://open.spotify.com/track/7irYTJgKTy2wKUX1we6KO8?si=a66847322d0b4289"
"1965","Simone de Oliveira","Sol de inverno",12,13,13,,,1,1,,,"https://youtu.be/3EWerGTtyEg?si=Pk1ay6L_oqNlTSXB","https://music.apple.com/gb/album/sol-de-inverno/1437581589?i=1437581793","https://open.spotify.com/track/7Eb59M7Raj8XKn81iqD5HN?si=97d55eb8d5cc47e5"
"1966","Madalena Iglésias","Ele y ela",8,9,9,,,6,6,,,"https://youtu.be/GLj0qW6flqo?si=nWdYVpA7XKqk3MGs","https://music.apple.com/gb/album/%C3%A9l-y-ella/1394612276?i=1394612469","https://open.spotify.com/track/7k0RJUWh99X8ZtfNRYP5QV?si=b18a4165d30544bd"
"1967","Eduardo Nascimento","O vento mudou",5,10,10,,,3,3,,,"https://youtu.be/9ttguvQmqTw?si=CuhNmXpn69bcZ0NQ","https://music.apple.com/gb/album/o-vento-mudou/1400171228?i=1400171404","https://open.spotify.com/track/0XTIjnsEWgTr5uZRTqfna5?si=e1b815afd4f84ca1"
"1968","Carlos Mendes","Verão",1,9,9,,,5,5,,,"https://youtu.be/TDCB57_ih7w?si=1wjeKeAAQNWK26XQ","https://music.apple.com/gb/album/ver%C3%A3o/1395297941?i=1395297950","https://open.spotify.com/track/2rnR6kYGV7ixJqZNceIRmj?si=83b58ecfe4224eae"
"1969","Simone de Oliveira","Desfolhada portuguesa",15,9,9,,,4,4,,,"https://youtu.be/l6WXhDQY_sQ?si=__Nr1mi66B-Leq0z","https://music.apple.com/gb/album/desfolhada-portuguesa/1437581589?i=1437581792","https://open.spotify.com/track/1G0kV398JWt9kB9p1wL4at?si=fb6a3d3ca99d4da6"
"1971","Tonicha","Menina do alto da serra",15,8,8,,,83,83,,,,,
"1972","Carlos Mendes","A festa da vida",7,7,7,,,90,90,,,,,
"1973","Fernando Tordo","Tourada",3,9,9,,,80,80,,,,,
"1974","Paulo de Carvalho","E depois do adeus",16,10,10,,,3,3,,,,,
"1975","Duarte Mendes","Madrugada",16,15,15,,,16,16,,,,,
"1976","Carlos do Carmo","Uma flor de verde pinho",15,12,12,,,24,24,,,,,
"1977","Os Amigos","Portugal no coração",8,14,14,,,18,18,,,,,
"1978","Gemini","Dai li dou",5,16,16,,,5,5,,,,,
"1979","Manuela Bravo","Sobe, sobe, balão sobe",1,9,9,,,64,64,,,,,
"1980","José Cid","Um grande, grande amor",14,7,7,,,71,71,,,,,
"1981","Carlos Paião","Playback",15,16,16,,,9,9,,,,,
"1982","Doce","Bem bom",1,13,13,,,32,32,,,,,
"1983","Armando Gama","Esta balada que te dou",17,11,11,,,33,33,,,,,
"1984","Maria Guinot","Silêncio e tanta gente",19,10,10,,,38,38,,,,,
"1985","Adelaide","Penso em ti, eu sei",9,16,16,,,9,9,,,,,
"1986","Dora","Não sejas mau p'ra mim",20,14,14,,,28,28,,,,,
"1987","Nevada","Neste barco à vela",8,17,17,,,15,15,,,,,
"1988","Dora","Voltarei",20,17,17,,,5,5,,,,,
"1989","Da Vinci","Conquistador",9,15,15,,,39,39,,,,,
"1990","Nucha","Há sempre alguém",16,19,19,,,9,9,,,,,
"1991","Dulce","Lusitana paixão",12,7,7,,,62,62,,,,,
"1992","Dina","Amor d'água fresca",8,17,17,,,26,26,,,,,
"1993","Anabela","A cidade até ser dia",11,10,10,,,60,60,,,,,
"1994","Sara","Chamar a música",8,8,8,,,73,73,,,,,
"1995","Tó Cruz","Baunilha e chocolate",16,20,20,,,5,5,,,,,
"1996","Lúcia Moniz","O meu coração não tem cor",4,6,6,,,92,92,,,,,
"1997","Célia Lawson","Antes do adeus",15,21,22,13,9,0,0,0,0,,,
"1998","Alma Lusa","Se eu te pudesse abraçar",14,12,9,12,3,36,6,30,24,,,
"1999","Rui Bandeira","Como tudo começou",16,19,13,17,4,12,0,12,12,,,
"2001","MTM","Só sei ser feliz assim",11,17,15,14,1,18,0,18,18,,,
"2003","Rita Guerra","Deixa-me sonhar",7,20,14,20,6,13,2,11,9,,,
"2004","Sofia Vitória","Foi magia",,,,,,,,,,,,
"2005","2B","Amar",,,,,,,,,,,,
"2006","Nonstop","Coisas de nada",,,,,,,,,,,,
"2007","Sabrina","Dança comigo",,,,,,,,,,,,
"2008","Vânia Fernandes","Senhora do mar (Negras águas)",13,12,6,12,6,69,5,64,59,,,
"2009","Flor-de-Lis","Todas as ruas do amor",6,17,17,18,1,109,64,45,19,,,
"2010","Filipa Azevedo","Há dias assim",23,19,12,19,7,93,69,24,45,,,
"2011","Homens da Luta","A luta é alegria",,,,,,,,,,,,
"2012","Filipa Sousa","Vida minha",,,,,,,,,,,,
"2014","Suzy","Quero ser tua",,,,,,,,,,,,
"2015","Leonor Andrade","Há um mar que nos separa",,,,,,,,,,,,
"2017","Salvador Sobral","Amar pelos dois",11,1,1,1,0,758,382,376,6,,,
"2018","Cláudia Pascoal","O jardim",8,26,22,23,1,39,21,18,3,,,
"2019","Conan Osíris","Telemóveis",,,,,,,,,,"https://youtu.be/SIGn9_yMLn4?si=XHpue65tvmSG0bqu","https://music.apple.com/gb/album/telem%C3%B3veis/1451839387?i=1451839404","https://open.spotify.com/track/6funCK6yFDM0YzcfxJJBcp?si=0be7225b16d8486e"
"2020","Elisa","Medo de sentir",,,,,,,,,,"https://youtu.be/eIZ48w4epng?si=WQM2ItGR2AWy8enr","https://music.apple.com/gb/album/medo-de-sentir/1622856663?i=1622858803","https://open.spotify.com/track/7o7ARUQHGogYASmm1hppQr?si=64387a005ef245f6"
"2021","The Black Mamba","Love Is on My Side",7,11,7,18,11,153,126,27,99,"https://youtu.be/qq9SceXaukA?si=HgaW87zsa1nC5hlV","https://music.apple.com/gb/album/love-is-on-my-side/1556921127?i=1556921128","https://open.spotify.com/track/7fUlEgQytIcVr9tu20hv89?si=eaf011e4decc4bc4"
"2022","Maro","Saudade, saudade",3,9,5,15,10,207,171,36,135,"https://youtu.be/mZtbD47u6yI?si=Ahx7LoW1BEMl9Qb8","https://music.apple.com/gb/album/saudade-saudade/1606013782?i=1606014430","https://open.spotify.com/track/4S4Amrpr631M16IIXqRk73?si=2b069f9701c3462d"
"2023","Mimicat","Ai coração",2,23,17,21,4,59,43,16,27,"https://youtu.be/HYfkxX4PFyw?si=3lUf7l4Ks99w_yAX","https://music.apple.com/gb/album/ai-cora%C3%A7%C3%A3o/1667650267?i=1667650571","https://open.spotify.com/track/2i2L1439P8JJRqp1jiKfUR?si=ff96bb3abefd46a5"
"2024","Iolanda","Grito",,,,,,,,,,"https://youtu.be/K5wDGhcDSpQ?si=BPQqpug0DAqsIKeO","https://music.apple.com/gb/album/grito/1726492157?i=1726492402","https://open.spotify.com/track/2zhBeIoGEqISdQOu4HtQZc?si=2f4d479f10134e72"
