"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1994,"Point Theatre","Romania","Dan Bittman","Dincolo de nori",11,21,21,NULL,14,NULL,"https://youtu.be/KfMlZdyuFmk?si=t6qSogqwF7Pze5o-","https://music.apple.com/gb/album/dincolo-de-nori/1572861272?i=1572861655","https://open.spotify.com/track/0OiytAFLmAFEKiE1q0Gr0u?si=b38235d7ebef4fb5"
1998,"National Indoor Arena","Romania","Mălina Olinescu","Eu cred",15,22,19,22,0,6,"https://youtu.be/6nr1g-_XiLM?si=dECcPGIXPSmpPzaW",NULL,NULL
2000,"Globe Arena","Romania","Taxi","The Moon",6,17,7,19,18,7,"https://youtu.be/uwZBeQWBiH0?si=LlYlPCBnE8Fgyd9v",NULL,NULL
2002,"Saku Suurhall","Romania","Monica Anghel and Marcel Pavel","Tell Me Why",21,8,2,10,45,26,"https://youtu.be/nPvsLhdka6s?si=vM7neqMhlwTxIyKU",NULL,NULL
2003,"Skonto Olympic Hall","Romania","Nicola","Don't Break My Heart",24,10,2,10,19,54,"https://youtu.be/joZvkeX4R3Q?si=Tnl6WcP8DPv0HWcH","https://music.apple.com/gb/album/dont-break-my-heart/1573315123?i=1573315137","https://open.spotify.com/track/7vN1yJFrOPTQ6rNvxyQnou?si=a007a8449a8541d2"
2004,"Abdi İpekçi Arena","Romania","Sanda","I Admit",23,18,NULL,18,NULL,18,"https://youtu.be/1QwC2gsmGkA?si=xV_wgJPgpuKM4yCE",NULL,NULL
2005,"Palace of Sports","Romania","Luminița Anghel and Sistem","Let Me Try",4,4,3,4,18,130,"https://youtu.be/bGY20O4Z7nM?si=fBHtWisySTft7Ejd","https://music.apple.com/gb/album/let-me-try-feat-sistem/1653876258?i=1653876259",NULL
2006,"Olympic Indoor Hall","Romania","Mihai Trăistariu","Tornerò",12,4,15,4,2,170,"https://youtu.be/1SyPb8IOimE?si=hTamOrO-xFiiJDIR","https://music.apple.com/gb/album/tornero/724654304?i=724654627","https://open.spotify.com/track/0QJBInoPFqyHdPpiroO8Lg?si=4a0239587c704086"
2007,"Hartwall Arena","Romania","Todomondo","Liubi, Liubi, I Love You",20,13,5,13,10,74,"https://youtu.be/Y96QWdyx5TQ?si=POJbovX0k9baoz99",NULL,NULL
2008,"Belgrade Arena","Romania","Nico and Vlad","Pe-o margine de lume",1,20,10,20,1,44,"https://youtu.be/o_mvrGKbbqU?si=yV2LN6kh7N2jQs_e","https://music.apple.com/gb/album/pe-o-margine-de-lume/1555183389?i=1555183401","https://open.spotify.com/track/0dLz4eNr5kTkVmLVLoUs6l?si=0ff82046a55b4572"
2009,"Olimpiysky Arena","Romania","Elena","The Balkan Girls",22,23,20,20,31,38,"https://youtu.be/2uf7trjAj20?si=--eixvIfi2_bjwHB","https://music.apple.com/gb/album/the-balkan-girls/1555178387?i=1555178388","https://open.spotify.com/track/32e6HtEtm1N8MEcvV4Mq6k?si=bef816c3523349ee"
2010,"Telenor Arena","Romania","Paula Seling and Ovi","Playing with Fire",19,2,3,6,167,155,"https://youtu.be/J9EtMZXeQZw?si=-s_VLNe2HkTvAl_s","https://music.apple.com/gb/album/playing-with-fire/1447472779?i=1447472781","https://open.spotify.com/track/0m3mkj4WTHkfrmHB6toUIK?si=402d9fcd16504b26"
2011,"Düsseldorf Arena","Romania","Hotel FM","Change",17,17,13,14,86,79,"https://youtu.be/k2Q-tkBXEzA?si=Z5SGKATugb7nTpri",NULL,NULL
2012,"Baku Crystal Hall","Romania","Mandinga","Zaleilah",14,12,19,7,53,117,"https://youtu.be/K3ruy639kTQ?si=OlfHy6etGomltU-U","https://music.apple.com/gb/album/zaleilah-eurovision-version/1593095936?i=1593096839","https://open.spotify.com/track/3R3Zt8XnN8K405hzVtp3ar?si=96fa78f6b872451d"
2013,"Malmö Isstadion","Romania","Cezar","It's My Life",14,NULL,24,7,NULL,NULL,"https://youtu.be/OV3xp5ZXSYA?si=OeKpb48slWlMFSWS","https://music.apple.com/gb/album/its-my-life/1418960209?i=1418960222","https://open.spotify.com/track/1RCLwB4gj44JWKtjn0Kwok?si=f2dc76364d274c46"
2014,"B&W Hallerne","Romania","Paula Seling and Ovi","Miracle",6,9,17,9,51,103,"https://youtu.be/qN2h6__yJGQ?si=1sIplxwHCiuVoVdM","https://music.apple.com/gb/album/miracle-eurovision-song-contest-2014/1447431699?i=1447431821","https://open.spotify.com/track/0tBUd6UyIMfV29IdD1sEpT?si=b2722c37698d4236"
