"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2008;"Belgrade Arena";"San Marino";"Miodio";"Complice";;;;;;;"https://youtu.be/zJO1iA_R95U?si=40e3VG_vvt1nrvYT";"https://music.apple.com/gb/album/complice/429190907?i=429191073";"https://open.spotify.com/track/0NCI3TPk5pE9VtBhoy69j4?si=a3f14636a9c64e83"
2011;"Düsseldorf Arena";"San Marino";"Senit";"Stand By";;;;;;;"https://youtu.be/CYR9twFdeYc?si=XG36HZ0RPcIXKnuJ";;"https://open.spotify.com/track/2Zqr0vZrh8KlCISBCCNYAA?si=405601d3b5304db3"
2012;"Baku Crystal Hall";"San Marino";"Valentina Monetta";"The Social Network Song (Oh Oh – Uh – Oh Oh)";;;;;;;"https://youtu.be/y7IoR_5HPQ0?si=1rntcUTLfa8QIBDH";"https://music.apple.com/gb/album/the-social-network-song-oh-oh-uh-oh-oh/513374881?i=513374969";"https://open.spotify.com/track/0Vzs9Npd4fvkRi3utSF2E3?si=9ccb366ff0dd4ed8"
2013;"Malmö Isstadion";"San Marino";"Valentina Monetta";"Crisalide (Vola)";;;;;;;"https://youtu.be/YirZIBi2vnY?si=qPfzQzmpR5Pu3xA7";"https://music.apple.com/gb/album/crisalide-vola-esc-version/647209645?i=647209754";"https://open.spotify.com/track/3CwS3gyTxTDx73pYii5pPs?si=b942e17c81544f78"
2014;"B&W Hallerne";"San Marino";"Valentina Monetta";"Maybe";25;25;25;23;16;18;"https://youtu.be/_eZNTBJ-Hyc?si=yW-ahOnncZQNiExI";"https://music.apple.com/gb/album/maybe-forse-esc-version/862418827?i=862422051";"https://open.spotify.com/track/7MNkWNAOb1zXw714gAzp07?si=f79d7e6f20a04254"
2015;"Wiener Stadthalle";"San Marino";"Anita Simoncini and Michele Perniola";"Chain of Lights";;;;;;;"https://youtu.be/FE1KJYNvVAE?si=YDu-VdDNMKQsL-Nv";;
2016;"Globe Arena";"San Marino";"Serhat";"I Didn't Know";;;;;;;"https://youtu.be/HzPkDb2FSeg?si=F66HlYVu7XyYQu3a";"https://music.apple.com/gb/album/i-didnt-know-official-esc-version-san-marino-2016/1101258448?i=1101258787";"https://open.spotify.com/track/0KKRpAbvaaJyIk78GmTKeb?si=3fb123c74449455d"
2017;"International Exhibition Centre";"San Marino";"Valentina Monetta and Jimmie Wilson";"Spirit of the Night";;;;;;;"https://youtu.be/UC7QzXPnt6k?si=ADPp2vtZ8dnfHdcQ";"https://music.apple.com/gb/album/spirit-of-the-night-esc-version/1216730114?i=1216730139";"https://open.spotify.com/track/3wSYu1RXRBzcGfB2vVwrZS?si=aebca204db104eee"
2018;"Lisbon Arena";"San Marino";"Jessika feat. Jenifer Brening";"Who We Are";;;;;;;"https://youtu.be/66D0pKVdA-4?si=lgTE6aJ_FcCrGmdd";"https://music.apple.com/gb/album/who-we-are-feat-jenifer-brening/1654843858?i=1654843859";"https://open.spotify.com/track/0dew6JXEmJOo8nRbPp9M6Y?si=b6c935f7836c46e3"
2019;"Expo Tel Aviv";"San Marino";"Serhat";"Say Na Na Na";7;19;23;10;12;65;"https://youtu.be/d_iEis_ZRoQ?si=AKTggsmFcGP6nphH";"https://music.apple.com/gb/album/say-na-na-na/1455220229?i=1455220240";"https://open.spotify.com/track/1QiX3OmiJ3AyClandLJoEj?si=4dd24f6d20ab4857"
2020;"Rotterdam Ahoy";"San Marino";"Senhit";"Freaky!";;;;;;;"https://youtu.be/c6ZNo_hVA6E?si=8sr1jEtqNe5aVFBi";"https://music.apple.com/gb/album/freaky/1659697089?i=1659697091";"https://open.spotify.com/track/46uNPDPgDia7wAS1v16qSl?si=57dec00bae414856"
2021;"Rotterdam Ahoy";"San Marino";"Senhit feat. Flo Rida";"Adrenalina";26;22;18;21;37;13;"https://youtu.be/TkhiH-JXFPs?si=g47MQCFP_DbTV094";"https://music.apple.com/gb/album/adrenalina/1555358963?i=1555358966";"https://open.spotify.com/track/5sckZhskSmeF8TFJ05oSCB?si=ea24a5463fd3467a"
2022;"PalaOlimpico";"San Marino";"Achille Lauro";"Stripper";;;;;;;"https://youtu.be/vCmX64N_sXM?si=lE5GWyCDs75Bo_wO";"https://music.apple.com/gb/album/stripper/1612139734?i=1612139981";"https://open.spotify.com/track/1PpH00KzrWRN3um8vSbi7A?si=1d67bb08382646e1"
2023;"Liverpool Arena";"San Marino";"Piqued Jacks";"Like an Animal";;;;;;;"https://youtu.be/pIdHjcqyLfo?si=bCQZW2p1h3UUoTxV";"https://music.apple.com/gb/album/like-an-animal/1678578934?i=1678578935";"https://open.spotify.com/track/7nHxIAj5achKMZnYNcbzfe?si=6b04dea5b3e442a2"
2024;"Malmö Isstadion";"San Marino";"Megara";"11:11";;;;;;;"https://youtu.be/9NcAJtfhpWA?si=jAUQS9Yi7A_maJT1";"https://music.apple.com/gb/album/11-11/1728102769?i=1728102772";"https://open.spotify.com/track/6XIerJ9V7H9byQFRZiqyCv?si=959bfc78702b4318"
