"sourceTable","artist","song","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
"2008","Miodio","Complice",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2011","Senit","Stand By",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2012","Valentina Monetta","The Social Network Song (Oh Oh – Uh – Oh Oh)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2013","Valentina Monetta","Crisalide (Vola)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2014","Valentina Monetta","Maybe",25,22,25,21,4,34,16,18,2,NULL,NULL,NULL
"2015","Anita Simoncini and Michele Perniola","Chain of Lights",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2016","Serhat","I Didn't Know",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2017","Valentina Monetta and Jimmie Wilson","Spirit of the Night",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018","Jessika feat. Jenifer Brening","Who We Are",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019","Serhat","Say Na Na Na",7,18,22,10,12,77,12,65,53,NULL,NULL,NULL
"2020","Senhit","Freaky!",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/c6ZNo_hVA6E?si=8sr1jEtqNe5aVFBi","https://music.apple.com/gb/album/freaky/1659697089?i=1659697091","https://open.spotify.com/track/46uNPDPgDia7wAS1v16qSl?si=57dec00bae414856"
"2021","Senhit feat. Flo Rida","Adrenalina",26,21,18,20,2,50,37,13,24,"https://youtu.be/TkhiH-JXFPs?si=g47MQCFP_DbTV094","https://music.apple.com/gb/album/adrenalina/1555358963?i=1555358966","https://open.spotify.com/track/5sckZhskSmeF8TFJ05oSCB?si=ea24a5463fd3467a"
"2022","Achille Lauro","Stripper",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/vCmX64N_sXM?si=lE5GWyCDs75Bo_wO","https://music.apple.com/gb/album/stripper/1612139734?i=1612139981","https://open.spotify.com/track/1PpH00KzrWRN3um8vSbi7A?si=1d67bb08382646e1"
"2023","Piqued Jacks","Like an Animal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/pIdHjcqyLfo?si=bCQZW2p1h3UUoTxV","https://music.apple.com/gb/album/like-an-animal/1678578934?i=1678578935","https://open.spotify.com/track/7nHxIAj5achKMZnYNcbzfe?si=6b04dea5b3e442a2"
"2024","Megara","11:11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/9NcAJtfhpWA?si=jAUQS9Yi7A_maJT1","https://music.apple.com/gb/album/zari/1734215972?i=1734216111","https://open.spotify.com/track/6XIerJ9V7H9byQFRZiqyCv?si=959bfc78702b4318"
