"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2007;"Hartwall Arena";"Serbia";"Marija Šerifović";"Molitva";17;1;17;1;1;267;"https://youtu.be/FSueQN1QvV4?si=kLyUOBBuUitW92dC";"https://music.apple.com/gb/album/molitva-esc-serbian-version/259891927?i=259891955";"https://open.spotify.com/track/1ue71r2sNUvl4LSqvgVVcZ?si=c20aad907b844965"
2008;"Belgrade Arena";"Serbia";"Jelena Tomašević feat. Bora Dugić";"Oro";23;6;11;6;0;160;"https://youtu.be/d3NMkyDSEb0?si=0wZxgcbmOVI-lLqh";"https://music.apple.com/gb/album/oro/1578004612?i=1578004843";"https://open.spotify.com/track/593IpDx3kxrBMeGQ0LLGYl?si=c3da67b677cb4b0c"
2009;"Olimpiysky Arena";"Serbia";"Marko Kon and Milaan";"Cipela";;;;;;;"https://youtu.be/DRObP8XE4Ko?si=RjPaG0lYt-93l2xC";;"https://open.spotify.com/track/0btQr6pGSvF2OTBvwJsiBx?si=279a79a87d424c58"
2010;"Telenor Arena";"Serbia";"Milan Stanković";"Ovo je Balkan";8;15;21;10;37;110;"https://youtu.be/4pVEII2pmso?si=SBJTlDrNA5V0c9GW";"https://music.apple.com/gb/album/ovo-je-balkan/1676108789?i=1676108790";"https://open.spotify.com/track/0W3XSKkaKYq38KPQPnsa9M?si=c0b55c695cd148cf"
2011;"Düsseldorf Arena";"Serbia";"Nina";"Čaroban";24;12;8;13;111;89;"https://youtu.be/oHgXE90OSzM?si=M-NY0rt4JzwphMom";;
2012;"Baku Crystal Hall";"Serbia";"Željko Joksimović";"Nije ljubav stvar";24;3;2;3;173;211;"https://youtu.be/R9x9VbJzaDQ?si=TZTzVWvWxUBOUI15";"https://music.apple.com/gb/album/nije-ljubav-stvar/1652103060?i=1652103061";"https://open.spotify.com/track/0XPSz3tEODnQtWoPrhVwAr?si=e0df3ddc2bb045e3"
2013;"Malmö Isstadion";"Serbia";"Moje 3";"Ljubav je svuda";;;;;;;"https://youtu.be/DbAAFijZIxE?si=Q1Mw1mBOCiv_CgwO";;
2015;"Wiener Stadthalle";"Serbia";"Bojana Stamenov";"Beauty Never Lies";8;10;16;10;34;86;"https://youtu.be/c40kVKIoPvE?si=K6QJeP85DFLWkfLU";;
2016;"Globe Arena";"Serbia";"Sanja Vučić Zaa";"Goodbye (Shelter)";15;18;22;11;35;80;"https://youtu.be/yTlxLiSQWjk?si=Hv1mZhkhSZkMq8rR";;
2017;"International Exhibition Centre";"Serbia";"Tijana Bogićević";"In Too Deep";;;;;;;"https://youtu.be/A0wAd-a0hXA?si=h9q3V_WyOWKkWhOe";"https://music.apple.com/gb/album/in-too-deep/1444298242?i=1444298243";"https://open.spotify.com/track/5uzjoEMnrrraUxiQPH3ELe?si=7bba8e6627df4774"
2018;"Lisbon Arena";"Serbia";"Sanja Ilić and Balkanika";"Nova deca";10;19;20;12;38;75;"https://youtu.be/WRQWQShbPHU?si=hnvAgNmZjQHQXm6M";"https://music.apple.com/gb/album/nova-deca/1370304765?i=1370304768";"https://open.spotify.com/track/7i4FrliOhykU6yxoue8Y9e?si=cd4b000d9f274c5c"
2019;"Expo Tel Aviv";"Serbia";"Nevena Božović";"Kruna";23;18;19;13;35;54;"https://youtu.be/X0mdaeAyPvA?si=EAWyLTF8sGPgY8Yb";"https://music.apple.com/gb/album/kruna/1584097419?i=1584097420";"https://open.spotify.com/track/0D0yCWxBoaQb55KN3xtvpS?si=f71ff3f6627f4b0d"
2020;"Rotterdam Ahoy";"Serbia";"Hurricane";"Hasta la vista";;;;;;;"https://youtu.be/7fqZevYLUMs?si=_4IMBqFeXczsK-2t";"https://music.apple.com/gb/album/hasta-la-vista/1572121157?i=1572121158";"https://open.spotify.com/track/6lhcHjvp651xOq1vOqAdDe?si=96385f6640d14493"
2021;"Rotterdam Ahoy";"Serbia";"Hurricane";"Loco loco";8;15;21;9;20;82;"https://youtu.be/Q1lkpIqf7a4?si=namT-m6JEDY3GezQ";"https://music.apple.com/gb/album/loco-loco/1601804864?i=1601804865";"https://open.spotify.com/track/3XsC53nR7WLjc3b1CAgXhB?si=96159a940b9243f8"
2022;"PalaOlimpico";"Serbia";"Konstrakta";"In corpore sano";24;5;11;4;87;225;"https://youtu.be/nBtQj1MfNYA?si=QtnKOGvuDR_FyBLP";"https://music.apple.com/gb/album/in-corpore-sano/1610103738?i=1610103739";"https://open.spotify.com/track/1JaOUMmaSZlWfONvT4HTlg?si=1bc324a821a7493a"
2023;"Liverpool Arena";"Serbia";"Luke Black";"Samo mi se spava";5;24;23;21;14;16;"https://youtu.be/gPRfg9wzbpw?si=R_8nvjLFJjx4bK3g";"https://music.apple.com/gb/album/samo-mi-se-spava/1669728033?i=1669728034";"https://open.spotify.com/track/7wLxoyWoClSUAlKGjaefQn?si=febfb41c501f4a28"
2024;"Malmö Isstadion";"Serbia";"Teya Dora";"Ramonda";16;17;18;14;22;32;"https://youtu.be/tJyBVRBiyKA?si=6NvpU9DnIH-_sFGq";"https://music.apple.com/gb/album/ramonda/1727601676?i=1727601947";"https://open.spotify.com/track/3q58lQ4ByWV5MR0VSeNer3?si=bbcf4ea3fbdc49be"
