"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1993;"Green Glens Arena";"Slovenia";"1X Band";"Tih deževen dan";16;22;22;;9;;"https://youtu.be/ZJKnD9k3soU?si=8PGE0nf38pu1tGtj";;
1995;"Point Theatre";"Slovenia";"Darja Švajger";"Prisluhni mi";20;7;7;;84;;"https://youtu.be/jqM3mAfztU8?si=B98TvPpqtblG_Auv";"https://music.apple.com/gb/album/prisluhni-mi/1572520439?i=1572520694";"https://open.spotify.com/track/5hD0KuFerCg0Qnn0VXMrNS?si=0e2b807f40794690"
1996;"Oslo Spektrum";"Slovenia";"Regina";"Dan najlepših sanj";14;21;21;;16;;"https://youtu.be/GgNfjsrw4j4?si=YHoNy536bltyNtwY";"https://music.apple.com/gb/album/dan-najlep%C5%A1ih-sanj/482068160?i=482068161";"https://open.spotify.com/track/4NrbpestG8aXXePSuvrsMB?si=3babd91169714ce0"
1997;"Point Theatre";"Slovenia";"Tanja Ribič";"Zbudi se";6;10;9;18;60;0;"https://youtu.be/Q62JQRWk40o?si=qTURCuc28vyOcTAL";"https://music.apple.com/gb/album/zbudi-se/1647019773?i=1647020071";"https://open.spotify.com/track/4RNKS61wY33tace4GNWThC?si=764b990feb7b4459"
1998;"National Indoor Arena";"Slovenia";"Vili Resnik";"Naj bogovi slišijo";12;17;8;19;8;9;"https://youtu.be/BTED2l_S-aQ?si=I1A1oUA3wzO8QAcb";;
1999;"International Convention Center";"Slovenia";"Darja Švajger";"For a Thousand Years";6;11;2;15;27;23;"https://youtu.be/kAvBKRB28Ho?si=BZDfLTiteX82kTrV";"https://music.apple.com/gb/album/for-a-thousand-years/1572520439?i=1572520440";"https://open.spotify.com/track/3Nun3F5Bs9F0RZwz2VifIV?si=c31197576d9e4f7c"
2001;"Parken Stadium";"Slovenia";"Nuša Derenda";"Energy";17;7;6;7;18;52;"https://youtu.be/yzXmzCMOLQY?si=H1U4lAlUcGMtEtqA";;
2002;"Saku Suurhall";"Slovenia";"Sestre";"Samo ljubezen";22;12;17;12;11;22;"https://youtu.be/pr9Pr3GRBA4?si=k-1QOvsJRZ3P1vfC";"https://music.apple.com/gb/album/samo-ljubezen/1485666040?i=1485666048";"https://open.spotify.com/track/5Wuo6QOB41oIC4qVVteZ4O?si=5d152e5c63f34589"
2003;"Skonto Olympic Hall";"Slovenia";"Karmen";"Nanana";26;23;15;24;4;3;"https://youtu.be/QN34amOOMZM?si=a_2zWdqjmhJivmlB";"https://music.apple.com/gb/album/nanana/1481079603?i=1481079831";"https://open.spotify.com/track/16chob1dFbhZecEQHqpH3c?si=25d989d07282421b"
2004;"Abdi İpekçi Arena";"Slovenia";"Platin";"Stay Forever";;;;;;;"https://youtu.be/2gh2F0aufEw?si=HioDCG2JWG7KzUX9";;
2005;"Palace of Sports";"Slovenia";"Omar Naber";"Stop";;;;;;;"https://youtu.be/qUTIYik9cRA?si=tEDYofonrW3ZO4vs";"https://music.apple.com/gb/album/stop-esc-version/1572618389?i=1572618466";"https://open.spotify.com/track/0JRZJwg4lkdlv1CuqGAaFW?si=0b79ccf3c5264267"
2006;"Olympic Indoor Hall";"Slovenia";"Anžej Dežan";"Mr. Nobody";;;;;;;"https://youtu.be/6AfU39gHNg4?si=SG5lNOqNfNSjVMGo";"https://music.apple.com/gb/album/mr-nobody/1572438957?i=1572439335";"https://open.spotify.com/track/1qs83xsdtjrl8oOw9P2E4b?si=1b4dba09907a4e58"
2007;"Hartwall Arena";"Slovenia";"Alenka Gotar";"Cvet z juga";7;15;19;15;0;66;"https://youtu.be/KKrOMagZnMI?si=_-NAYDJK4QuCTfeX";"https://music.apple.com/gb/album/cvet-z-juga/1572326170?i=1572326171";"https://open.spotify.com/track/5TyLmF69awrR61SO4v0NT4?si=2ab49fb5dbf94fb2"
2008;"Belgrade Arena";"Slovenia";"Rebeka Dremelj";"Vrag naj vzame";;;;;;;"https://youtu.be/MNfKA2olCSk?si=MN34jhmBh-f0AGNk";"https://music.apple.com/gb/album/vrag-naj-vzame-mesto-ema-2008/1470572483?i=1470572886";"https://open.spotify.com/track/5gPGq1tPugvTMydGtHofYr?si=2094f3b5772145d0"
2009;"Olimpiysky Arena";"Slovenia";"Quartissimo feat. Martina";"Love Symphony";;;;;;;"https://youtu.be/afPh1slPAsc?si=Mm0YgXJeAtHzMWgf";;
2010;"Telenor Arena";"Slovenia";"Ansambel Žlindra and Kalamari";"Narodnozabavni rock";;;;;;;"https://youtu.be/2faHkE1JZwc?si=RVJaPA3-ZKpwKCU1";;
2011;"Düsseldorf Arena";"Slovenia";"Maja Keuc";"No One";20;13;4;22;160;39;"https://youtu.be/5vqjb2OYnYs?si=hpjGtD_HuCjtGGvh";"https://music.apple.com/gb/album/no-one/437264664?i=437264678";"https://open.spotify.com/track/18JxAvZNiJ8387A3As20mg?si=9e824baf84d54587"
2012;"Baku Crystal Hall";"Slovenia";"Eva Boto";"Verjamem";;;;;;;"https://youtu.be/jEHNRKnrWiU?si=TMGmtJfHtMaYOB81";"https://music.apple.com/gb/album/verjamem/525389490?i=525389509";"https://open.spotify.com/track/7LJkJLyMEkih27lzpNQkFs?si=7af1619056c344da"
2013;"Malmö Isstadion";"Slovenia";"Hannah";"Straight into Love";;;;;;;"https://youtu.be/I2_zGcuEuwU?si=T1ZNeQLy0yktEF-N";"https://music.apple.com/gb/album/straight-into-love-denis-goldin-remix/728697990?i=728698193";
2014;"B&W Hallerne";"Slovenia";"Tinkara Kovač";"Round and Round";17;24;24;25;21;15;"https://youtu.be/CiwM1sY3u0s?si=a0VevCHl1fc-CzWN";;
2015;"Wiener Stadthalle";"Slovenia";"Maraaya";"Here for You";1;17;12;19;48;27;"https://youtu.be/y1c7gDOaFY0?si=LQ6_4WVR8FFgrngT";"https://music.apple.com/gb/album/here-for-you/1020620481?i=1020620742";"https://open.spotify.com/track/0Es5TMIKrTH3bLf0wk0sut?si=66c54d9cc45248f6"
2016;"Globe Arena";"Slovenia";"ManuElla";"Blue and Red";;;;;;;"https://youtu.be/ulI3F1T82is?si=LFiq2RVRSSdh0RdI";"https://music.apple.com/gb/album/blue-and-red/1722082568?i=1722082573";"https://open.spotify.com/track/5GXgQj1HyQPBpKHXJSfDc6?si=3e2ddc8fab384fb2"
