"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1961;"Palais des Festivals";"Spain";"Conchita Bautista";"Estando contigo";1;8;8;NULL;8;NULL;"https://youtu.be/qPOP5gTnGcY?si=C44TC1iMQZLcvnYl";"https://music.apple.com/gb/album/estando-contigo/168755567?i=168756231";"https://open.spotify.com/track/5DIovqjO8pCMkA6L1FXrXl?si=cc9e86ccdee841cf"
1962;"Villa Louvigny";"Spain";"Víctor Balaguer";"Llámame";3;9;9;NULL;0;NULL;"https://youtu.be/klMKcdPXH7c?si=kigbobd2X4qrt2mS";NULL;"https://open.spotify.com/track/5NIOZIbuLhFO1PQNv3pHhl?si=d39a309ab0c84bdf"
1963;"BBC Television Centre";"Spain";"José Guardiola";"Algo prodigioso";12;11;11;NULL;2;NULL;"https://youtu.be/YSrbG8DrGBA?si=ydBE0ruItEf6kMQE";"https://music.apple.com/gb/album/algo-prodigioso/690459012?i=690460175";"https://open.spotify.com/track/08lZvHPOvP3MsGpxZlZ9Up?si=30aaa043200b4112"
1964;"Tivolis Koncertsal";"Spain";"Los TNT";"Caracola";16;10;10;NULL;1;NULL;"https://youtu.be/jWtEypoNSno?si=iIppkTlCDP8PnHx0";"https://music.apple.com/gb/album/caracola-remastered/956158163?i=956158171";"https://open.spotify.com/track/4pTGS44sUrO2aX8rAq0SZc?si=eece3b2203a54eae"
1965;"Sala di Concerto della RAI";"Spain";"Conchita Bautista";"Qué bueno, qué bueno";3;14;14;NULL;0;NULL;"https://youtu.be/Ax3Gr8FDeaw?si=rIqzDybC10A_ufAV";"https://music.apple.com/gb/album/que-bueno-que-bueno/250464281?i=250464461";"https://open.spotify.com/track/6ojK3fWtv67fPP3yMti3ZC?si=36ba9239f7a948d4"
1966;"Villa Louvigny";"Spain";"Raphael";"Yo soy aquél";11;6;6;NULL;9;NULL;"https://youtu.be/EqmbC813p0w?si=VXXYjTkXIHzIxutW";"https://music.apple.com/gb/album/yo-soy-aqu%C3%A9l/734819736?i=734819803";"https://open.spotify.com/track/5KlxDlTDQLNsAPnKfgbVPB?si=0bb691d5f1144ea1"
1967;"Großer Festsaal der Wiener Hofburg";"Spain";"Raphael";"Hablemos del amor";12;6;6;NULL;9;NULL;"https://youtu.be/iuFiQLQYM7w?si=bPAekuephIeCmVaU";"https://music.apple.com/gb/album/hablemos-del-amor/693490631?i=693490639";"https://open.spotify.com/track/1uG9IM78KZTIEBzcWEd2E8?si=608c5083300443e7"
1968;"Royal Albert Hall";"Spain";"Massiel";"La La La";15;1;1;NULL;29;NULL;"https://youtu.be/_ifGokQxN_c?si=0sXwgVlBQye2Wavy";"https://music.apple.com/gb/album/la-la-la/1344881086?i=1344881200";"https://open.spotify.com/track/1ApXNkjfjxkSDoezO8Kh8g?si=7f638d59ccf74df2"
1969;"Teatro Real";"Spain";"Salomé";"Vivo cantando";3;1;1;NULL;18;NULL;"https://youtu.be/uQgb7QdZIv0?si=YpaUscwkkz4mbr-E";"https://music.apple.com/gb/album/vivo-cantando/175107274?i=175107275";"https://open.spotify.com/track/059G9tpE3kl6wz3kiddaN0?si=fc34d3b8fd704bde"
1970;"RAI Congrescentrum";"Spain";"Julio Iglesias";"Gwendolyne";9;4;4;NULL;8;NULL;"https://youtu.be/v6Sp3Sq7m0Y?si=4vXKryH4Bbdw2Lzi";"https://music.apple.com/gb/album/gwendolyne/1041519441?i=1041519443";"https://open.spotify.com/track/7B4uAyj4X3qs8YXdV4wwhS?si=f80a351ccf7244b8"
1971;"Gaiety Theatre";"Spain";"Karina";"En un mundo nuevo";6;2;2;NULL;116;NULL;"https://youtu.be/Mn0H88pbXxY?si=XMRkNmk_pQ-sKrzm";"https://music.apple.com/gb/album/en-un-mundo-nuevo/696792706?i=696793592";"https://open.spotify.com/track/3S46JQujpHNreKgktdrDBK?si=5006dbec6b754753"
1972;"Usher Hall";"Spain";"Jaime Morey";"Amanece";4;10;10;NULL;83;NULL;"https://youtu.be/YRaJV0VjhK4?si=AUw8D7JXpoYRVOfj";"https://music.apple.com/gb/album/amanece/985686856?i=985686862";"https://open.spotify.com/track/5nOr02D5qY4AICkN6FhjOX?si=34e5055717384e18"
1973;"Théâtre Municipal";"Spain";"Mocedades";"Eres tú";7;2;2;NULL;125;NULL;"https://youtu.be/DUW9Db-Iy6Q?si=rdDc0S0D-D4lfni2";"https://music.apple.com/gb/album/eres-t%C3%BA/1055226190?i=1055226294";"https://open.spotify.com/track/6eOMmjI4PRpzc0lnlWdf0C?si=fac809e784b646de"
1974;"Brighton Dome";"Spain";"Peret";"Canta y sé feliz";3;6;6;NULL;10;NULL;"https://youtu.be/Eg8y13r8ORI?si=ORR975NOapmr7-ru";"https://music.apple.com/gb/album/canta-y-s%C3%A9-feliz/294731768?i=294731790";"https://open.spotify.com/track/4xuQ7KieQmHXiYdh965WQR?si=e634349572074a58"
1975;"St. Eriks Mässan";"Spain";"Sergio and Estíbaliz";"Tú volverás";17;10;10;NULL;53;NULL;"https://youtu.be/ZUUpuN0m3oY?si=jgO-KaQn2zBXu2Wm";"https://music.apple.com/gb/album/t%C3%BA-volver%C3%A1s/255677066?i=255677109";"https://open.spotify.com/track/2KYlV00chBWcckA8smxYJW?si=b4a556ac272148b6"
1976;"Nederlands Congresgebouw";"Spain";"Braulio";"Sobran las palabras";12;16;16;NULL;11;NULL;"https://youtu.be/UrNw0zJFLmY?si=XAOIcJzDyl02aa5H";"https://music.apple.com/gb/album/sobran-las-palabras/169428409?i=169428424";"https://open.spotify.com/track/1QOgYW9oq5r6evWA2A4s6a?si=b00af118361a4dae"
1977;"Wembley Conference Centre";"Spain";"Micky";"Enséñame a cantar";14;9;9;NULL;52;NULL;"https://youtu.be/aPE_jTvBKMo?si=C5TnYqhG5Dv1Zh9F";"https://music.apple.com/gb/album/ense%C3%B1ame-a-cantar/215109067?i=215109447";"https://open.spotify.com/track/2uqty8GXN72i8h5YFd037F?si=a3a77165fa4d4800"
1978;"Palais des Congrès";"Spain";"José Vélez";"Bailemos un vals";7;9;9;NULL;65;NULL;"https://youtu.be/I2qOAmqB_0s?si=MiisKXnvuTRlUB9a";"https://music.apple.com/gb/album/bailemos-un-vals/1458111223?i=1458111308";"https://open.spotify.com/track/07HHIWiizlox1aoaxscHoj?si=a31ad89c4083489c"
1979;"International Convention Center";"Spain";"Betty Missiego";"Su canción";19;2;2;NULL;116;NULL;"https://youtu.be/21pLt9ymYMc?si=IhmbvmLlaUsRj3ip";"https://music.apple.com/gb/album/su-canci%C3%B3n/1050805789?i=1050806230";"https://open.spotify.com/track/2YDMHFV05yjkhAbh2gDm6B?si=d2e6c16c4ee44d55"
1980;"Nederlands Congresgebouw";"Spain";"Trigo Limpio";"Quédate esta noche";18;12;12;NULL;38;NULL;"https://youtu.be/9F17ZaiNTKw?si=cvaVOqbeFsTm-NJi";"https://music.apple.com/gb/album/qu%C3%A9date-esta-noche/1664838473?i=1664838714";"https://open.spotify.com/track/6MBoXztS2I25Q2wxCg8w5Z?si=a2184f700c924011"
1981;"RDS Simmonscourt Pavilion";"Spain";"Bacchelli";"Y sólo tú";10;12;12;NULL;38;NULL;"https://youtu.be/xAC06pAZDek?si=5ixzLRcnqOPm2lvq";"https://music.apple.com/gb/album/y-solo-t%C3%BA/996487753?i=996487769";"https://open.spotify.com/track/1d9NXqULwsBqqdUx4Nvnl4?si=5b57e18c15c44fdf"
1982;"Harrogate Conference Centre";"Spain";"Lucía";"Él";12;10;10;NULL;52;NULL;"https://youtu.be/MXYFmy-YaP8?si=6qUTcfTMtBcb6Oh0";"https://music.apple.com/gb/album/el/626052524?i=626052834";NULL
1983;"Rudi-Sedlmayer-Halle";"Spain";"Remedios Amaya";"Quién maneja mi barca";7;17;17;NULL;0;NULL;"https://youtu.be/B3-0DLbQP2E?si=CCmd7EwYTZPhNBoq";"https://music.apple.com/gb/album/quien-maneja-mi-barca/255707827?i=255708115";"https://open.spotify.com/track/0TWaqxvioVlbLIa1mGIN1z?si=af15cae0d08f4586"
