"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1958;"AVRO Studios";"Sweden";"Alice Babs";"Lilla stjärna";5;4;4;;10;;"https://youtu.be/f5DNvsB94uI?si=7-6UwHW2iGRskWeo";"https://music.apple.com/gb/album/lilla-stj%C3%A4rna/889660639?i=889660658";"https://open.spotify.com/track/1VrHijWfzrqYM9A76u1zBA?si=7374f8793ca6492d"
1959;"Palais des Festivals";"Sweden";"Brita Borg";"Augustin";7;8;8;;4;;"https://youtu.be/BG_hh_f9ANg?si=yso5DhfMsnKCD5en";;"https://open.spotify.com/track/3Slc76uWyTN3eMt4L8aIv1?si=965e78583ca94962"
1960;"Royal Festival Hall";"Sweden";"Siw Malmkvist";"Alla andra får varann";2;8;8;;4;;"https://youtu.be/Vb8o-fBkXnA?si=lmK9_-dAINPMoQ-A";;
1961;"Palais des Festivals";"Sweden";"Lill-Babs";"April, april";7;11;11;;2;;"https://youtu.be/JzldSvZG6cc?si=g2LhIR1lYNLTRrzV";"https://music.apple.com/gb/album/april-april/1455083010?i=1455083019";"https://open.spotify.com/track/6dkODYmzFy7ocAszlfPlM1?si=9bdfdda8c61e43c6"
1962;"Villa Louvigny";"Sweden";"Inger Berggren";"Sol och vår";6;6;6;;4;;"https://youtu.be/hP5G3bzqLsg?si=6bgE160NNLGolVTA";"https://music.apple.com/gb/album/sol-och-v%C3%A5r/1187835637?i=1187835826";"https://open.spotify.com/track/7xVrhpdprtkRTjU1Z3xG7H?si=f6d19098787c4af8"
1963;"BBC Television Centre";"Sweden";"Monica Zetterlund";"En gång i Stockholm";13;12;12;;0;;"https://youtu.be/j19HXn0-iGc?si=6YOb7Xx4-qD-Mrai";"https://music.apple.com/gb/album/en-g%C3%A5ng-i-stockholm/928620606?i=928620680";"https://open.spotify.com/track/6WiPnFoRRExPzLaHeRWmDW?si=0ba2498aeeb54ed8"
1965;"Sala di Concerto della RAI";"Sweden";"Ingvar Wixell";"Annorstädes Vals";10;10;10;;6;;"https://youtu.be/NrPiw8gILOY?si=LcmCPxdv9mdJLW-H";"https://music.apple.com/gb/album/annorst%C3%A4des-vals/806737989?i=806738439";"https://open.spotify.com/track/3B1QZcT1mnQQKknSTSjt8e?si=4cabe2c833cc4d90"
1966;"Villa Louvigny";"Sweden";"Lill Lindfors and Svante Thuresson";"Nygammal vals";10;2;2;;16;;"https://youtu.be/P3HRr9G9c_s?si=4VANlcU9u4h6aJj8";"https://music.apple.com/gb/album/nygammal-vals/1442402405?i=1442402543";"https://open.spotify.com/track/5nDEZqQnqzdhAC1OVfNwaA?si=cff207894eb745cc"
1967;"Großer Festsaal der Wiener Hofburg";"Sweden";"Östen Warnerbring";"Som en dröm";7;8;8;;7;;"https://youtu.be/RHroCOZDgng?si=bTTzw2Lnf4Y4GrKo";;
1968;"Royal Albert Hall";"Sweden";"Claes-Göran Hederström";"Det börjar verka kärlek, banne mej";8;5;5;;15;;"https://youtu.be/c1IzEh6aTXU?si=OPG40n8khCs8T4cj";"https://music.apple.com/gb/album/det-b%C3%B6rjar-verka-k%C3%A4rlek-banne-mej/980399911?i=980400863";"https://open.spotify.com/track/1qnzSLvl5qWPIgpaRnLGxl?si=3c98379b1cd742bd"
1969;"Teatro Real";"Sweden";"Tommy Körberg";"Judy, min vän";9;5;5;;8;;"https://youtu.be/RRI5mzHoi5g?si=WmAmY-s4mJHoMRq8";"https://music.apple.com/gb/album/judy-min-v%C3%A4n/1469546495?i=1469547017";"https://open.spotify.com/track/1Z4zGDjmHURFmHAd0OAV2t?si=e88c3c48361748ae"
1971;"Gaiety Theatre";"Sweden";"Family Four";"Vita vidder";12;6;6;;85;;"https://youtu.be/Mq10KQ77dnY?si=HxF5wkw6PFnHKz6m";"https://music.apple.com/gb/album/vita-vidder/595206671?i=595206744";"https://open.spotify.com/track/0xC2WfHIDroVb1FXHsyrLI?si=fc0b2c892caa4056"
1972;"Usher Hall";"Sweden";"Family Four";"Härliga sommardag";14;13;13;;75;;"https://youtu.be/H7_56Ia1nZ4?si=VgC3HrpHIPHQtV8F";"https://music.apple.com/gb/album/h%C3%A4rliga-sommardag/500953480?i=500953534";"https://open.spotify.com/track/7k2hvWTTXotDZuGc6U0vUp?si=689a2ea2bda94b3a"
1973;"Théâtre Municipal";"Sweden";"The Nova";"You're Summer";12;5;5;;94;;"https://youtu.be/hpCgiswUrqQ?si=nxZCRe_Gdz2Op4oD";;
1974;"Brighton Dome";"Sweden";"ABBA";"Waterloo";8;1;1;;24;;"https://youtu.be/inVWZFW3x3U?si=cDJRNxhdZVZz4XZD";"https://music.apple.com/gb/album/waterloo/1422648512?i=1422649021";"https://open.spotify.com/track/10fRfvMo6WCO9Gaawxy2U9?si=d59cc116a6da4f19"
1975;"St. Eriks Mässan";"Sweden";"Lars Berghagen";"Jennie, Jennie";18;8;8;;72;;"https://youtu.be/8SzFkI2dsD4?si=xZOkvF8WjBbfEDR0";;"https://open.spotify.com/track/3BdAVTDazl0jW9Jpxz0VYh?si=e602dc4413c440d9"
