"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1956;"Teatro Kursaal";"Switzerland";"Lys Assia";"Das alte Karussell";2;;;;;;"https://www.youtube.com/watch?v=lVpf8uzHnX0";"https://music.apple.com/gb/album/das-alte-karussell/479762769?i=479762771";"https://open.spotify.com/track/3njmcUACnmkhClkbiPJEiC?si=a0433d1ebc7f40f7"
1956;"Teatro Kursaal";"Switzerland";"Lys Assia";"Refrain";9;1;1;;;;"https://www.youtube.com/watch?v=11gRqqnYenA";"https://music.apple.com/gb/album/refrain/924070561?i=924075016";"https://open.spotify.com/track/0OtKMBmhEuQ4hGPbMmtErz?si=41ff9bd0f82f4254"
1957;"Großer Sendesaal des Hessischen Rundfunks";"Switzerland";"Lys Assia";"L'Enfant que j'étais";10;8;8;;5;;"https://www.youtube.com/watch?v=SiSnxD1tbVk";"https://music.apple.com/gb/album/lenfant-que-j%C3%A9tais/888477204?i=888477320";"https://open.spotify.com/track/01sQcEG7fSc0gj2pDuQjki?si=1b800996049943fb"
1958;"AVRO Studios";"Switzerland";"Lys Assia";"Giorgio";10;2;2;;24;;"https://youtu.be/gGsalvX8K4c?si=D8C6znfMw_M79w_r";"https://music.apple.com/gb/album/giorgio/1710315897?i=1710315909";"https://open.spotify.com/track/3Syp8BwV63wQRwwedcM5Am?si=650fac25a37840bd"
1959;"Palais des Festivals";"Switzerland";"Christa Williams";"Irgendwoher";8;4;4;;14;;"https://youtu.be/xHb8J0Mw_oE?si=wbpxyDFAZcOor-zg";;"https://open.spotify.com/track/53zBk1K2D6pPImun8CPmdc?si=6495e7d465d946d9"
1960;"Royal Festival Hall";"Switzerland";"Anita Traversi";"Cielo e terra";9;8;8;;5;;"https://youtu.be/wQFa5bcRXUE?si=XdR9g6T4x5bBtTVY";"https://music.apple.com/gb/album/cielo-e-terra/1586707420?i=1586707443";"https://open.spotify.com/track/4srnL6rMLR8SD50IlZFOMW?si=053fd6235a74483c"
1961;"Palais des Festivals";"Switzerland";"Franca di Rienzo";"Nous aurons demain";10;3;3;;16;;"https://youtu.be/03-NjbYQz14?si=BwL39Od-uPDBhQJe";;"https://open.spotify.com/track/4oI6GRJLKLZHPaFlCs8ONs?si=22c1b193e86049a5"
1962;"Villa Louvigny";"Switzerland";"Jean Philippe";"Le Retour";11;10;10;;2;;"https://youtu.be/UMCltpzNK64?si=rPQAAHnrySEvjShH";"https://music.apple.com/gb/album/le-retour/897293018?i=897293051";"https://open.spotify.com/track/3jakgbXidY6njzP4wAPBOi?si=6aa9f8c16b2748d3"
1963;"BBC Television Centre";"Switzerland";"Esther Ofarim";"T'en va pas";10;2;2;;40;;"https://youtu.be/eI8yLiJLObc?si=wXzlpBQLZXSgu2St";;
1964;"Tivolis Koncertsal";"Switzerland";"Anita Traversi";"I miei pensieri";14;13;13;;0;;"https://youtu.be/_LVzg3_6Wmo?si=mgzS7CyywKcj1ohA";;
1965;"Sala di Concerto della RAI";"Switzerland";"Yovanna";"Non, à jamais sans toi";18;8;8;;8;;"https://youtu.be/lYCmykU9i9w?si=wKIo_VCk9LCMDhEJ";"https://music.apple.com/gb/album/non-a-jamais-sans-toi/1291940207?i=1291942003";"https://open.spotify.com/track/2eklJtgkMIjgqLZwaouyq1?si=495f014114524328"
1966;"Villa Louvigny";"Switzerland";"Madeleine Pascal";"Ne vois-tu pas ?";12;6;6;;12;;"https://youtu.be/n40_VHZoPBY?si=gB4boVIGfwAsQMkL";;
1967;"Großer Festsaal der Wiener Hofburg";"Switzerland";"Géraldine";"Quel cœur vas-tu briser ?";6;17;17;;0;;"https://youtu.be/cd34NSLZIME?si=o4sOQY9pqfrzAfQe";;
1968;"Royal Albert Hall";"Switzerland";"Gianni Mascolo";"Guardando il sole";6;13;13;;2;;"https://youtu.be/65iMtWFurdk?si=03XG4-75mV_WAViP";;
1969;"Teatro Real";"Switzerland";"Paola";"Bonjour, Bonjour";11;5;5;;13;;"https://youtu.be/9eGeZuMuMTs?si=2L0m30vCp9yX8Nph";;
1970;"RAI Congrescentrum";"Switzerland";"Henri Dès";"Retour";2;4;4;;8;;"https://youtu.be/X0ItTfqLk1I?si=5HxBHTzgBigbIpbW";;
1971;"Gaiety Theatre";"Switzerland";"Peter, Sue and Marc";"Les Illusions de nos vingt ans";4;12;12;;78;;"https://youtu.be/9kJPdJuYPzI?si=XMqw9DrweywOJp6C";;
1972;"Usher Hall";"Switzerland";"Véronique Müller";"C'est la chanson de mon amour";8;8;8;;88;;"https://youtu.be/nu5gXetH9pg?si=iu_G4TLVxxJEIBCh";;
1973;"Théâtre Municipal";"Switzerland";"Patrick Juvet";"Je vais me marier, Marie";8;12;12;;79;;"https://youtu.be/dLQNmuebqJk?si=bV89ARAjBGX_bSJ1";"https://music.apple.com/gb/album/je-vais-me-marier-marie/1566330154?i=1566330512";"https://open.spotify.com/track/7DtZfdCENSZ3FV5F9Znpqe?si=b6a4caa819f140fa"
1974;"Brighton Dome";"Switzerland";"Piera Martell";"Mein Ruf nach dir";15;14;14;;3;;"https://youtu.be/wP_h6mpDIoY?si=qunUiJuZdFQ6UDaz";;
1975;"St. Eriks Mässan";"Switzerland";"Simone Drexel";"Mikado";7;6;6;;77;;"https://youtu.be/mtKOgromKdM?si=vikvcoadKzL_caAI";;
1976;"Nederlands Congresgebouw";"Switzerland";"Peter, Sue and Marc";"Djambo Djambo";2;4;4;;91;;"https://youtu.be/3KdqK-P6taY?si=ubUPqNm7tNtfawAp";"https://music.apple.com/gb/album/djambo-djambo-remastered-2015/1444210931?i=1444211464";"https://open.spotify.com/track/47F73dkUQMKOl77Zs68pxk?si=7b6b562ba1824352"
1977;"Wembley Conference Centre";"Switzerland";"Pepe Lienhard Band";"Swiss Lady";12;6;6;;71;;"https://youtu.be/JdD2ljNVui0?si=MdG11TAerhHXe-CI";"https://music.apple.com/gb/album/swiss-lady/716612030?i=716612290";"https://open.spotify.com/track/0832pCssQRETuqoNPLOtpO?si=adeace0256fd4e0d"
1978;"Palais des Congrès";"Switzerland";"Carole Vinci";"Vivre";9;9;9;;65;;"https://youtu.be/do85uApIf38?si=Bu9-dxik-5Ts_2PQ";;
1979;"International Convention Center";"Switzerland";"Peter, Sue and Marc, Pfuri, Gorps and Kniri";"Trödler und Co.";8;10;10;;60;;"https://youtu.be/C146vwTKLOE?si=tfcR0Shf9DlSZVWJ";"https://music.apple.com/gb/album/tr%C3%B6dler-co-remastered-2015/1444045141?i=1444045485";"https://open.spotify.com/track/5HW3cbxWJvQtrWTNO41pdk?si=1ac2eab836034409"
1980;"Nederlands Congresgebouw";"Switzerland";"Paola";"Cinéma";9;4;4;;104;;"https://youtu.be/aC_IEns_SSk?si=n0Un95uERDL110Rr";"https://music.apple.com/gb/album/cinema/170044088?i=170044875";"https://open.spotify.com/track/2IjAy4EsIFdbr54RaBoEuq?si=d1d776ca53a44cc2"
1981;"RDS Simmonscourt Pavilion";"Switzerland";"Peter, Sue and Marc";"Io senza te";19;4;4;;121;;"https://youtu.be/yeHRGPT2hh0?si=BnqAppy3wdAmak8L";"https://music.apple.com/gb/album/io-senza-te-remastered-2015/1444077879?i=1444078299";"https://open.spotify.com/track/5mjrRoNle2EKYms3MOiAqA?si=ef9b04cc5ebd4f9e"
1982;"Harrogate Conference Centre";"Switzerland";"Arlette Zola";"Amour on t'aime";7;3;3;;97;;"https://youtu.be/1NZzdHi_K7o?si=BKfodREOTDzBlT7o";;
1983;"Rudi-Sedlmayer-Halle";"Switzerland";"Mariella Farré";"Io così non ci sto";8;15;15;;28;;"https://youtu.be/NefVUY13wsg?si=eNF1Gq3ZPz5bcNGX";;
1984;"Théâtre Municipal";"Switzerland";"Rainy Day";"Welche Farbe hat der Sonnenschein";17;16;16;;30;;"https://youtu.be/1Ee7596Q6Pw?si=Z55GQrRU6Tzb4d1X";;
1985;"Scandinavium";"Switzerland";"Mariella Farré and Pino Gasparini";"Piano, piano";15;12;12;;39;;"https://youtu.be/kL_KON9qyqQ?si=mYCqxDDc8AqccQFa";;
1986;"Grieghallen";"Switzerland";"Daniela Simons";"Pas pour moi";10;2;2;;140;;"https://youtu.be/av1mEh-Iuyc?si=ZsqIDIuwD4x7y2O0";"https://music.apple.com/gb/album/pas-pour-moi/1477358418?i=1477358422";"https://open.spotify.com/track/7yipL2ExEHgodu2hZ8fKbc?si=8af1707755ea427d"
1987;"Palais de Centenaire";"Switzerland";"Carol Rich";"Moitié moitié";22;17;17;;26;;"https://youtu.be/PxuiJNAkhOo?si=skqZTe6Gx0BPnFcq";"https://music.apple.com/gb/album/moiti%C3%A9-moiti%C3%A9/613367482?i=613368315";"https://open.spotify.com/track/675NrQENjFFJd1Pa0HCxk1?si=83dc9d1b3eee4cb2"
