"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1975;"St. Eriks Mässan";"Turkey";"Semiha Yankı";"Seninle Bir Dakika";13;19;19;;3;;"https://youtu.be/FHFGDW0Up50?si=ZpZg597wIT7Bh3Gv";"https://music.apple.com/gb/album/seninle-bir-dakika/659962176?i=659962183";"https://open.spotify.com/track/614QoS0lSkuHX7fgSsOxLP?si=c7b54aa990364825"
1978;"Palais des Congrès";"Turkey";"Nilüfer and Nazar";"Sevince";12;18;18;;2;;"https://youtu.be/zuwF7O77AT0?si=6whb356fyoi3XOT3";;"https://open.spotify.com/track/1MAfd4NoC6ifXiVe4qk1Uv?si=de42aa32118c4358"
1980;"Nederlands Congresgebouw";"Turkey";"Ajda Pekkan";"Pet'r Oil";2;15;15;;23;;"https://youtu.be/qrzbmeYTHio?si=ykxtfomZzPKvbwc4";"https://music.apple.com/gb/album/petro%C4%B1l/666241580?i=666242022";"https://open.spotify.com/track/1Rz8ryyjIkIMeyzye8V1Fa?si=2038468f4d634c3c"
1981;"RDS Simmonscourt Pavilion";"Turkey";"Modern Folk Trio and Ayşegül";"Dönme Dolap";2;17;17;;9;;"https://youtu.be/SICfYe7bTLU?si=P8_8PZD_rFycThFe";"https://music.apple.com/gb/album/d%C3%B6nme-dolap/1226967161?i=1226967452";"https://open.spotify.com/track/745Aegju8fSfJSzk8LDUdD?si=847eacf358734ac0"
1982;"Harrogate Conference Centre";"Turkey";"Neco";"Hani?";5;15;15;;20;;"https://youtu.be/sU67JnNuqSA?si=xe-MGbKC1bF6eyiN";"https://music.apple.com/gb/album/hani/1526277191?i=1526277198";"https://open.spotify.com/track/3LprFlN4BvA5buOilf87Cm?si=3df67a4d01d94093"
1983;"Rudi-Sedlmayer-Halle";"Turkey";"Çetin Alp and the Short Wave";"Opera";6;19;19;;0;;"https://youtu.be/lYzGNBavjyY?si=Ob6WjTFtsODPN0tD";"https://music.apple.com/gb/album/opera-i-ngilizce/1526859199?i=1526860216";"https://open.spotify.com/track/5VPcIIbKgfgdwPlrE0U8OX?si=2dc89ec4bfb2408c"
1984;"Théâtre Municipal";"Turkey";"Beş Yıl Önce, On Yıl Sonra";"Halay";15;12;12;;37;;"https://youtu.be/wcL_EVL7olE?si=UInjMXVPA34ih-dE";;
1985;"Scandinavium";"Turkey";"MFÖ";"Didai didai dai";7;14;14;;36;;"https://youtu.be/6tlDYMZWSzU?si=Yee71Dqj9Yod3S2K";"https://music.apple.com/gb/album/didai-didai-dai/1470162982?i=1470163073";"https://open.spotify.com/track/2Mh1ykEjXT268wfR6vAOLa?si=88434e670e0d4ce6"
1986;"Grieghallen";"Turkey";"Klips ve Onlar";"Halley";8;9;9;;53;;"https://youtu.be/WIJuwwpuQy0?si=H1aYN9U0l5ruvrid";"https://music.apple.com/gb/album/halley/1700437974?i=1700437980";"https://open.spotify.com/track/3yFtRPcsdilNmts8FpPcsg?si=1e2d85d8228740c9"
1987;"Palais de Centenaire";"Turkey";"Seyyal Taner and Grup Lokomotif";"Şarkım Sevgi Üstüne";10;22;22;;0;;"https://youtu.be/7H9YMkVyauY?si=QDfVyVw3A91ydXk5";"https://music.apple.com/gb/album/%C5%9Fark%C4%B1m-sevgi-%C3%BCst%C3%BCne-feat-grup-lokomotif/1526645323?i=1526645765";"https://open.spotify.com/track/6EGc2WQjPtWHofcPK9CoYd?si=5618e24b92294cd9"
1988;"RDS Simmonscourt Pavilion";"Turkey";"MFÖ";"Sufi (Hey Ya Hey)";5;15;15;;37;;"https://youtu.be/mzs2dKLUskY?si=V67-RVH8BNxWPXag";"https://music.apple.com/gb/album/sufi/1526271251?i=1526271253";"https://open.spotify.com/track/0EGMAei7uOdzvN7sLCcaog?si=bd11748e0ab940ac"
1989;"Palais de Beaulieu";"Turkey";"Pan";"Bana Bana";5;21;21;;5;;"https://youtu.be/mNXi912U6co?si=4wR_qyBu6xzpUM3B";"https://music.apple.com/gb/album/bana-bana/1449316746?i=1449317787";"https://open.spotify.com/track/2qL3am4LzYKYuFFOS07rrD?si=c74d89924d8947e6"
1990;"Koncertna Dvorana Vatroslav Lisinski";"Turkey";"Kayahan";"Gözlerinin Hapsindeyim";4;17;17;;21;;"https://youtu.be/1b8iKf4eri4?si=k74bPnau06Iwutbr";"https://music.apple.com/gb/album/g%C3%B6zlerinin-hapsindeyim/1147649931?i=1147650263";"https://open.spotify.com/track/7B35SoCqYSOKiea23ZJ3QK?si=1cbac400d914469c"
1991;"Studio 15 di Cinecittà";"Turkey";"Can Uğurluer, İzel Çeliköz, Reyhan Karaca";"İki Dakika";10;12;12;;44;;"https://youtu.be/YJu3nn5NLhw?si=bVdW_pn8_cFaiP6F";"https://music.apple.com/gb/album/i-ki-dakika/1693929734?i=1693931369";"https://open.spotify.com/track/2UrOv8NLJ9ZENE67b9QsfA?si=216360b4c14f4c64"
1992;"Malmö Isstadion";"Turkey";"Aylin Vatankoş";"Yaz Bitti";4;19;19;;17;;"https://youtu.be/td7rqo9rkI8?si=1V4J5QF-QbOGinI0";;
1993;"Green Glens Arena";"Turkey";"Burak Aydos, Öztürk Baybora and Serter";"Esmer Yarim";2;21;21;;10;;"https://youtu.be/k3QddyzaY4U?si=zl95ZiLhmXaGokik";"https://music.apple.com/gb/album/esmer-yarim/587246616?i=587246801";"https://open.spotify.com/track/5ZBKZN6h23M1LqFa0sKWzv?si=22a4af31c1424cd4"
1995;"Point Theatre";"Turkey";"Arzu Ece";"Sev!";10;16;16;;21;;"https://youtu.be/iAjz_UUTMoo?si=ez1S_ovSEp-tsGkg";;
1996;"Oslo Spektrum";"Turkey";"Şebnem Paker";"Beşinci Mevsim";1;12;12;;57;;"https://youtu.be/Blywpx1ZqOA?si=sibFNrZKuTDiWAti";;
1997;"Point Theatre";"Turkey";"Şebnem Paker and Grup Ethnic";"Dinle";2;3;5;3;86;35;"https://youtu.be/m5J6-bCMz3Y?si=1mu_zQWKSwJVg2OE";"https://music.apple.com/gb/album/dinle-single/1701355086";"https://open.spotify.com/track/0o8G72kJfRnQJrFJkoRpCg?si=2f43845b923a4a6f"
1998;"National Indoor Arena";"Turkey";"Tüzmen";"Unutamazsın";24;13;17;13;2;23;"https://youtu.be/zOa-AtCdSzw?si=kC4hnPLqxT7-oBja";;
1999;"International Convention Center";"Turkey";"Tuba Önal and Grup Mistik";"Dön Artık";7;16;18;16;0;21;"https://youtu.be/11niYpARszM?si=iPxy5TIJBrp-NmRc";;
2000;"Globe Arena";"Turkey";"Pınar and the SOS";"Yorgunum Anla";22;10;9;8;17;42;"https://youtu.be/PuAvGobyFrQ?si=3IPEquLAJTc-Tgep";"https://music.apple.com/gb/album/yorgunum-anla/873486129?i=873486131";"https://open.spotify.com/track/5GFUT8pfrK4umc8KA6cFoL?si=ec8b87a90aa44d81"
2001;"Parken Stadium";"Turkey";"Sedat Yüce";"Sevgiliye Son";15;11;13;11;11;30;"https://youtu.be/PxjtZLYX7Us?si=xkWeYs_Rb6oyztUo";;
2002;"Saku Suurhall";"Turkey";"Buket Bengisu and Group Safir";"Leylaklar Soldu Kalbinde";19;15;11;18;19;10;"https://youtu.be/vKcUd35CU3U?si=11MjXLSb0Un2B9vG";;
2003;"Skonto Olympic Hall";"Turkey";"Sertab Erener";"Everyway That I Can";4;1;5;2;12;155;"https://youtu.be/5EZquD8JXro?si=17xlH0hgoIlGrx6i";"https://music.apple.com/gb/album/every-way-that-i-can/400705400?i=400705407";"https://open.spotify.com/track/5I8ENb7zzrbYLwhGESY9CF?si=dfc730cba8da4660"
