"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2003;"Skonto Olympic Hall";"Ukraine";"Olexandr";"Hasta la vista";16;14;10;16;8;22;"https://youtu.be/C0r1Vh4hbFc?si=yH1XJ7H1jhF6IkD8";;
2004;"Abdi İpekçi Arena";"Ukraine";"Ruslana";"Wild Dances";10;1;;1;;280;"https://youtu.be/10XR67NQcAc?si=_H4dJAXaQkafD3yF";"https://music.apple.com/gb/album/wild-dances/724020681?i=724020692";"https://open.spotify.com/track/1Lav2Z3RKu71MJLIjQz4dQ?si=33d8cae1f8954d27"
2005;"Palace of Sports";"Ukraine";"GreenJolly";"Razom nas bahato";16;19;8;19;8;22;"https://youtu.be/N5u6J_mbhLU?si=IkeOa_qpEytvsDUF";"https://music.apple.com/gb/album/razom-nas-bagato/112569024?i=112568879";"https://open.spotify.com/track/2oSsrTivauS9o3nkauX8v5?si=002d875ba81c4a03"
2006;"Olympic Indoor Hall";"Ukraine";"Tina Karol";"Show Me Your Love";18;7;15;7;2;143;"https://youtu.be/mRqhkwTIuU8?si=tHWPa2vI5xufoRbA";"https://music.apple.com/gb/album/show-me-your-love/724656139?i=724656251";"https://open.spotify.com/track/7BHTaJH6bO036eAOMxWBuk?si=c483a74c162c436f"
2007;"Hartwall Arena";"Ukraine";"Verka Serduchka";"Dancing Lasha Tumbai";18;2;1;2;12;223;"https://youtu.be/hfjHJneVonE?si=wMjLXd0L_m9qcR49";"https://music.apple.com/gb/album/dancing-lasha-tumbai/998110853?i=998110862";"https://open.spotify.com/track/47WBIz3j4GI7qYHVuMRHVT?si=e616fdc6741f4716"
2008;"Belgrade Arena";"Ukraine";"Ani Lorak";"Shady Lady";18;2;18;2;0;230;"https://youtu.be/L6M300uBc7U?si=CYihYmJNdXgHlbfn";"https://music.apple.com/gb/album/shady-lady/1668241306?i=1668241324";"https://open.spotify.com/track/5devjcsxeVnwYQbaYJ2Ewx?si=8c93ff67632a4829"
2009;"Olimpiysky Arena";"Ukraine";"Svetlana Loboda";"Be My Valentine! (Anti-Crisis Girl)";21;14;16;12;68;70;"https://youtu.be/rGJqLCuqssc?si=2Bye1HB-Y3taGMft";"https://music.apple.com/gb/album/be-my-valentine/1650814346?i=1650814352";"https://open.spotify.com/track/5Ed1V8y02vO1VU2eTOPdyl?si=ffad656234524c5a"
2010;"Telenor Arena";"Ukraine";"Alyosha";"Sweet People";17;10;6;13;129;94;"https://youtu.be/20CPPV_uwmE?si=K7BbyXrzLr1SYwgJ";"https://music.apple.com/gb/album/sweet-people/1199354095?i=1199354216";"https://open.spotify.com/track/7CJ8kE34MpQpL8jZUazdPt?si=953d9b749d804dba"
2011;"Düsseldorf Arena";"Ukraine";"Mika Newton";"Angel";23;4;7;4;117;168;"https://youtu.be/mx1wAj_oVdE?si=cW4E7_q-qnpKruSz";;"https://open.spotify.com/track/27A9IhnwX4IHQz3otMujwW?si=5a1becc26eff44c6"
2012;"Baku Crystal Hall";"Ukraine";"Gaitana";"Be My Guest";25;13;7;20;125;37;"https://youtu.be/sLsTn_li5d8?si=09v0xGwwpQq2Cmfi";"https://music.apple.com/gb/album/be-my-guest-original-version/1716427613?i=1716427621";"https://open.spotify.com/track/2upRVe4mpsXRYr8tugnK0Y?si=c2ca8791474748b8"
2013;"Malmö Isstadion";"Ukraine";"Zlata Ognevich";"Gravity";22;;6;2;;;"https://youtu.be/BMxpv8naRd8?si=YqfA7STGWiXATME1";;"https://open.spotify.com/track/0d3CHhMj2veGNsFJ8bpeT2?si=030b59eb533a42cf"
2014;"B&W Hallerne";"Ukraine";"Mariya Yaremchuk";"Tick-Tock";1;7;12;8;78;112;"https://youtu.be/slHboKF9PIQ?si=om0kf6O99x8VBJ5k";"https://music.apple.com/gb/album/tick-tock/863077966?i=863077984";"https://open.spotify.com/track/4kIheg2ykamUNNrSxL7t56?si=d089a46aa99745b8"
2016;"Globe Arena";"Ukraine";"Jamala";"1944";21;1;2;2;211;323;"https://youtu.be/B-rnM-MwRHY?si=jj8Fe9UqEC8GVKao";"https://music.apple.com/gb/album/1944/1664506704?i=1664506710";"https://open.spotify.com/track/2nxTpjhxLXeyBOxYnRnT76?si=7c53ac435d6c4347"
2017;"International Exhibition Centre";"Ukraine";"O.Torvald";"Time";22;24;24;17;12;24;"https://youtu.be/mogNLkIEI0k?si=TwRRNVTsPs974ecK";"https://music.apple.com/gb/album/time/1609249851?i=1609249856";"https://open.spotify.com/track/7xzXyOnErZDcgsGlchy4ec?si=7f0bcebd1f4549e2"
2018;"Lisbon Arena";"Ukraine";"Mélovin";"Under the Ladder";1;17;26;7;11;119;"https://youtu.be/lhOuMYtQ94M?si=V2kaxmfl8mBBECkN";"https://music.apple.com/gb/album/under-the-ladder/1641471359?i=1641471372";"https://open.spotify.com/track/0a4eEfoZEYCXte9Zk1r7YG?si=1ad7a3314ac743ae"
2020;"Rotterdam Ahoy";"Ukraine";"Go_A";"Solovey";;;;;;;"https://youtu.be/zNetXPSld50?si=ZcEnaNU5QuGmZl3H";"https://music.apple.com/gb/album/solovey/1600525903?i=1600526137";"https://open.spotify.com/track/1dI3a24CXaNy9WY47cwJsJ?si=730a695d903741cd"
2021;"Rotterdam Ahoy";"Ukraine";"Go_A";"Shum";19;5;9;2;97;267;"https://youtu.be/lqvzDkgok_g?si=tUB9SvKy1XhshWar";"https://music.apple.com/gb/album/shum/1579581409?i=1579581421";"https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm?si=ce8dd6e10da3444b"
2022;"PalaOlimpico";"Ukraine";"Kalush Orchestra";"Stefania";12;1;4;1;192;439;"https://youtu.be/F1fl60ypdLs?si=GtQ7bm_sH1RFhR2V";"https://music.apple.com/gb/album/stefania/1614859010?i=1614859013";"https://open.spotify.com/track/0unPBMjVwn0HpWget3DBze?si=d6be0623df4649c8"
2023;"Liverpool Arena";"Ukraine";"Tvorchi";"Heart of Steel";19;6;16;4;54;189;"https://youtu.be/I2oqDpefJ1s?si=QuPpcYnOAk6VbA8l";"https://music.apple.com/gb/album/heart-of-steel-eurovision-version/1675602020?i=1675602021";"https://open.spotify.com/track/155yInH5aDNEI1MkcX6NNk?si=b7ae158fcdd940f7"
2024;"Malmö Isstadion";"Ukraine";"Alyona Alyona and Jerry Heil";"Teresa & Maria";2;;;;;;"https://youtu.be/k_8cNbF8FLI?si=5ef2YeEozCzoxjd6";"https://music.apple.com/gb/album/teresa-maria/1724327712?i=1724327757";"https://open.spotify.com/track/7n3Czk07KugPQOWuqCHDmF?si=bbc3d773921743ec"
